"GENE_SYMBOL","GSM4942759--P10","GSM4942760--P11","GSM4942761--P11","GSM4942762--P13","GSM4942763--P13","GSM4942764--P1","GSM4942765--P1","GSM4942766--P2","GSM4942767--P5","GSM4942768--P5","GSM4942769--P9","GSM4942786--P12","GSM4942787--P12","GSM4942788--P14","GSM4942789--P14","GSM4942790--P3","GSM4942791--P3","GSM4942792--P4","GSM4942793--P4","GSM4942794--P6","GSM4942795--P6","GSM4942796--P7","GSM4942797--P8","GSM4942798--P8","GSM4942799--P8"
"SLC26A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC26A10",0,1,15,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,5,0,0,0
"SLC26A11",24,12,14,17,10,3,2,19,1,9,7,5,2,11,1,27,4,5,0,6,4,1,16,11,6
"SLC26A2",64,12,12,19,18,14,14,6,8,38,16,24,25,34,17,13,15,5,6,36,42,37,62,34,32
"SLC26A3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC26A4",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"SLC26A5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC26A6",0,4,4,30,5,7,20,10,14,9,24,3,7,3,3,8,1,1,0,12,10,57,10,11,0
"SLC26A7",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
"SLC26A8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"SLC26A9",0,8,0,1,69,0,0,0,7,11,1,5,0,0,0,1,0,0,0,0,0,0,0,1,0
"SLC27A1",4,18,11,24,9,3,0,0,7,4,21,6,11,29,15,12,15,4,0,19,18,7,6,6,16
"SLC27A2",0,0,0,0,0,1,17,0,2,0,2,2,1,0,0,1,0,0,0,0,1,0,4,0,3
"SLC27A3",4,21,5,13,6,7,22,44,41,12,10,13,11,32,8,3,13,4,1,18,17,10,4,6,11
"SLC27A4",16,10,3,16,35,1,2,22,56,46,18,26,3,0,4,37,6,6,32,9,5,0,25,17,6
"SLC27A5",0,1,0,1,4,2,0,11,0,6,0,2,2,8,1,0,0,0,10,8,5,0,5,3,0
"SLC27A6",0,0,0,1,4,0,0,0,5,0,0,0,5,0,0,0,5,1,0,0,0,0,0,0,0
"SLC28A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"SLC28A2",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
"SLC28A3",22,9,0,9,35,2,0,0,21,116,24,4,0,0,0,17,3,9,0,2,19,0,1,2,0
"SLC29A1",11,2,14,9,2,2,10,16,11,1,26,7,4,31,15,6,22,25,9,7,6,44,16,4,19
"SLC29A2",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
"SLC29A3",0,4,6,2,9,1,0,19,0,0,8,8,4,9,0,7,5,1,0,8,14,7,11,2,5
"SLC29A4",5,3,4,2,1,4,2,3,12,1,12,5,4,2,1,5,4,3,3,1,5,6,5,3,3
"SLC2A1",78,61,0,100,96,8,77,37,69,238,166,108,53,7,9,147,83,60,7,18,24,6,48,88,0
"SLC2A10",11,16,5,26,5,7,0,21,0,0,8,6,6,22,6,8,9,3,8,25,14,23,20,12,13
"SLC2A11",3,5,17,8,1,4,10,10,14,5,10,14,7,10,14,10,2,0,0,10,10,1,16,11,0
"SLC2A12",0,4,0,0,0,0,0,0,4,1,8,0,1,0,0,0,0,0,2,2,0,0,0,0,0
"SLC2A13",35,2,9,14,2,9,2,3,2,11,4,6,5,2,5,0,1,1,0,28,18,14,17,10,1
"SLC2A14",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC2A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC2A3",36,24,44,22,25,37,84,90,7,0,27,18,23,49,17,26,19,10,28,143,99,80,66,33,16
"SLC2A4",0,0,13,0,0,0,0,0,0,0,2,0,0,3,3,0,1,0,0,3,0,23,0,0,4
"SLC2A4RG",68,48,65,57,47,20,37,109,47,63,81,58,70,75,40,98,33,38,80,44,54,100,59,34,47
"SLC2A5",0,0,1,0,2,5,52,9,1,6,10,12,21,0,6,2,5,7,31,6,11,16,27,9,27
"SLC2A6",1,10,5,16,3,7,44,13,4,3,6,3,18,9,4,3,6,4,12,19,11,2,23,18,0
"SLC2A7",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"SLC2A8",0,10,27,30,5,5,10,25,0,47,10,18,15,12,1,30,17,11,0,20,24,17,24,12,8
"SLC2A9",0,2,0,0,1,1,0,0,0,3,0,2,3,18,0,0,0,0,0,1,0,0,3,4,0
"SLC30A1",40,16,11,13,3,16,41,0,14,44,4,8,22,7,6,23,6,20,6,33,24,15,1,16,12
"SLC30A10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC30A2",1,0,0,1,0,0,9,4,1,0,3,0,3,4,0,3,1,0,1,0,1,0,2,0,0
"SLC30A3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC30A4",22,10,20,6,3,9,19,13,6,16,7,5,8,3,1,30,8,6,5,9,4,22,7,8,4
"SLC30A5",4,4,0,35,31,3,19,19,6,7,11,23,23,3,18,12,10,9,9,14,13,1,22,20,5
"SLC30A6",85,33,96,58,42,69,122,101,32,72,60,54,61,40,33,94,37,113,63,64,73,96,82,115,83
"SLC30A7",60,21,24,50,36,43,73,65,21,55,43,45,48,48,34,38,24,10,30,55,63,24,80,42,71
"SLC30A8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC30A9",3,14,33,22,6,5,3,17,28,23,23,16,12,37,11,34,17,16,1,24,25,1,24,21,12
"SLC31A1",20,17,27,14,22,7,10,23,72,74,38,29,11,11,6,29,8,42,32,39,30,39,9,18,4
"SLC31A2",41,41,43,29,17,27,36,48,48,83,24,36,25,12,20,45,46,23,59,53,45,10,27,11,29
"SLC32A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC33A1",5,26,46,17,14,14,24,101,15,61,16,18,28,20,5,14,15,12,0,27,43,34,19,25,18
"SLC34A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC34A2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"SLC34A3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC35A1",3,13,6,9,1,4,1,33,13,15,18,11,7,2,7,17,8,5,1,7,3,20,14,8,8
"SLC35A2",1,3,0,6,16,3,13,1,4,11,15,13,6,2,0,19,7,0,9,13,16,19,14,22,37
"SLC35A3",38,10,20,32,17,8,20,7,27,54,12,14,29,29,4,21,1,2,0,14,32,27,5,25,0
"SLC35A4",68,12,0,24,25,10,25,9,14,32,18,20,4,13,6,2,13,1,0,11,23,7,5,4,16
"SLC35A5",2,12,25,12,1,6,7,9,3,12,3,9,12,43,2,12,19,1,8,16,19,0,9,6,37
"SLC35B1",38,21,22,46,52,31,4,22,17,30,65,42,40,36,10,48,11,14,22,36,37,18,37,36,11
"SLC35B2",11,7,0,2,3,13,2,5,0,1,15,4,3,12,2,0,5,0,45,10,13,6,21,15,3
"SLC35B3",10,11,8,18,12,7,0,21,10,44,11,5,13,18,12,30,6,9,0,7,13,19,6,6,13
"SLC35B4",0,3,29,22,7,3,4,4,7,8,10,11,20,18,14,19,6,0,16,21,12,6,27,22,11
"SLC35C1",14,8,0,3,17,11,7,5,6,0,5,8,3,9,0,3,1,0,0,15,5,17,13,1,18
"SLC35C2",22,6,10,7,11,8,27,70,10,6,11,4,17,26,3,5,8,1,1,11,21,16,14,8,3
"SLC35D1",38,9,6,23,24,5,0,2,26,52,10,14,8,26,0,5,2,8,19,16,8,0,10,16,16
"SLC35D2",10,11,8,2,3,0,16,20,10,4,7,9,8,3,2,0,9,1,0,8,9,8,11,3,14
"SLC35D3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC35E1",31,30,39,38,54,12,91,59,24,53,47,36,35,17,8,54,12,13,42,34,35,58,30,47,35
"SLC35E2B",0,11,12,10,4,3,13,19,6,8,7,3,4,12,2,2,3,0,0,5,9,24,17,4,0
"SLC35E3",28,53,85,53,35,15,42,21,18,50,61,37,43,39,36,43,19,20,38,46,33,63,57,25,54
"SLC35E4",2,0,0,6,4,2,2,12,8,6,3,8,9,0,0,19,3,3,2,4,3,4,3,1,4
"SLC35F1",0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,5,1,0,0,4,2,26,0,0,0
"SLC35F2",23,4,14,15,22,5,9,1,8,14,21,23,25,14,15,21,7,9,13,10,16,8,11,14,7
"SLC35F3",0,0,0,0,0,0,0,9,0,0,7,0,3,0,0,0,0,0,4,0,0,1,7,3,0
"SLC35F4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC35F5",13,11,0,5,9,7,9,4,16,40,10,8,17,10,5,21,2,3,30,10,13,5,9,4,14
"SLC35F6",37,36,63,48,27,20,17,38,46,47,45,31,24,66,33,28,35,21,34,39,38,145,60,37,46
"SLC35G1",0,5,4,6,1,2,2,0,9,4,5,3,7,6,0,4,6,0,0,3,6,0,1,4,0
"SLC35G2",0,0,0,5,5,5,15,13,0,0,0,1,4,0,1,14,7,14,0,7,4,12,10,9,8
"SLC35G3",0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0
"SLC35G5",0,1,0,6,2,0,1,0,1,0,2,0,3,4,0,6,0,0,0,0,4,0,4,1,0
"SLC35G6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"SLC36A1",0,5,24,8,6,3,0,0,5,1,4,3,3,11,3,2,6,0,0,13,21,24,9,9,11
