"GENE_SYMBOL","GSM4673103--P5","GSM4673104--P5"
"ASCL1",0,0
"ASCL2",11,7
"ASCL3",0,0
"ASCL4",0,0
"ASCL5",0,0
"ASF1A",2,8
"ASF1B",33,36
"ASGR1",0,0
"ASGR2",1,1
"ASH1L",17,20
"ASH2L",30,40
"ASIC1",1,0
"ASIC2",0,0
"ASIC3",0,1
"ASIC4",0,0
"ASIC5",0,0
"ASIP",0,0
"ASL",7,4
"ASMT",0,0
"ASMTL",4,4
"ASNS",2,3
"ASNSD1",6,6
"ASPA",0,0
"ASPDH",0,0
"ASPG",42,54
"ASPH",172,182
"ASPHD1",1,0
"ASPHD2",2,5
"ASPM",6,12
"ASPN",1,0
"ASPRV1",32,7
"ASPSCR1",1,8
"ASRGL1",2,0
"ASS1",13,24
"ASTE1",0,2
"ASTL",0,2
"ASTN1",0,0
"ASTN2",2,0
"ASXL1",9,14
"ASXL2",15,20
"ASXL3",1,0
"ASZ1",0,0
"ATAD1",2,10
"ATAD2",9,12
"ATAD2B",5,8
"ATAD3A",7,4
"ATAD3B",32,53
"ATAD3C",3,1
"ATAD5",7,2
"ATAT1",1,3
"ATCAY",0,0
"ATE1",12,26
"ATF1",25,21
"ATF2",0,10
"ATF3",35,32
"ATF4",490,541
"ATF5",26,27
"ATF6",23,35
"ATF6B",67,71
"ATF7",11,23
"ATF7IP",6,20
"ATF7IP2",1,5
"ATG10",18,10
"ATG101",105,110
"ATG12",9,7
"ATG13",82,66
"ATG14",5,11
"ATG16L1",7,7
"ATG16L2",155,177
"ATG2A",8,8
"ATG2B",3,9
"ATG3",80,55
"ATG4A",9,12
"ATG4B",59,61
"ATG4C",1,2
"ATG4D",9,14
