"GENE_SYMBOL","GSM3036125","GSM3036126","GSM3036127","GSM3036128","GSM3036129","GSM3036130","GSM3036131","GSM3036132","GSM3036133","GSM3036134","GSM3036135"
"AKAP10",4.465749495,4.505825362,4.38559776,4.48249956,4.48249956,4.43933636,4.37890788,4.47386692,4.435692595,4.465749495,4.505825362
"LGALS9B",4.517769994,4.494944405,4.552008376,4.476356839,4.67477675,4.468420043,4.436672857,4.500167228,4.460706023,4.392229257,4.460706023
"CCDC144NL",4.912275806,4.588943747,4.912275806,4.696631681,4.513669457,4.771479863,5.004340875,4.804745722,4.682814345,4.974856205,4.90184574
"USP22",4.68517228,4.884273732,4.439223428,4.678932458,4.986266128,4.411000539,5.041428582,4.174590023,4.532918229,4.392376028,4.462647128
"TMEM11",4.617777751,4.348107961,4.240240045,4.425703012,4.467004881,4.186152173,4.57438974,4.202672921,4.294174003,4.369681544,4.294174003
"C17orf51",3.938895674,3.961384189,4.062582505,4.198614458,3.910207009,4.038388098,3.894184373,3.998331508,3.837697357,4.006361218,4.017605476
"IFT20",5.603141708,6.320319338,5.842200918,6.006539722,6.08674567,5.765921881,5.828304284,5.320333285,5.737014866,5.373644866,5.306708287
"POLDIP2",4.188289289,3.984982586,4.113386819,3.99423079,4.359339469,4.068912111,4.185083054,3.985932865,4.049184702,4.348794581,4.091986114
"SEBOX",4.326752075,4.231783256,4.39006462,4.2150096,4.298707627,4.323817035,4.315447232,4.524692297,4.200126984,4.400616711,4.442825075
"SLC46A1",4.537812667,4.852776422,4.631135261,4.596125597,5.127684668,4.97916081,4.619576732,4.408516513,4.747788503,4.467820722,4.526147343
"SGK494",4.645518412,4.634490638,4.744768378,4.823016714,4.679475871,4.567832994,4.60770545,4.655552398,4.7778517,4.788879474,4.700657282
"UNC119",4.69832186,4.610135615,4.764461543,4.536989659,4.594149336,4.545155327,4.545155327,4.863616382,4.48887953,4.599112335,4.543995932
"PIGS",4.651871147,4.563507614,4.590016674,4.546692102,4.565666414,4.470794854,4.537204946,4.518230634,4.439798667,4.519325847,4.581180321
"ALDOC",4.310677495,4.249838081,4.229558277,4.319170643,4.404583955,4.233757331,4.242298663,4.276463987,4.391796714,4.280257788,4.19913857
"KIAA0100",4.710127432,4.938602794,4.525171186,4.919345142,4.894882438,4.642101158,4.772568915,4.405628348,4.633968978,4.503411628,4.666608315
"SDF2",4.33582934,4.170384092,4.231337604,4.295541833,4.276143968,4.295541833,4.276143968,4.334337562,4.309706406,4.292291117,4.300998761
"PROCA1",5.270588472,5.171011809,5.320376804,5.288406538,5.340557543,5.271022869,5.201488196,5.236255533,5.260630806,5.310419138,5.310419138
"RAB34",5.182049325,4.88023538,5.088382928,5.050705168,4.941243815,5.067545376,5.000184544,5.252787666,5.109197683,5.098790306,5.140419815
"TLCD1",4.578719035,4.337182788,4.610223763,4.70451373,4.393906929,4.49464427,4.452670378,4.80525107,4.505208003,4.809753706,4.557715883
"FAM222B",4.767482308,4.909779596,4.969070132,4.901720237,5.18453716,4.587479211,4.893864211,4.721031647,4.791198522,4.945353917,5.028360669
