"GENE_SYMBOL","GSM7744827--R002","GSM7744829--R008","GSM7744830--R009","GSM7744832--R010","GSM7744833--R012","GSM7744834--R013","GSM7744836--R014","GSM7744837--R015","GSM7744838--R016","GSM7744839--R017","GSM7744841--R018","GSM7744842--R019","GSM7744843--R020","GSM7744844--R021","GSM7744845--R022"
"C4orf50",0,0,0,0,0,0,1,0,0,2,0,0,20,0,0
"C4orf51",6,2,1,8,1,4,8,16,1,0,32,276,1,4,5
"C5",714,125,82,801,419,309,346,355,429,17529,342,449,405,167,584
"C5AR1",259,615,2736,375,2596,5964,414,2597,285,1525,585,701,3112,3459,812
"C5AR2",6,87,150,14,140,528,83,141,189,77,124,28,114,908,242
"C5orf15",6979,5263,5814,17104,6335,6390,5208,12456,11156,7489,6196,9714,9527,2868,13955
"C5orf22",1305,2899,4909,5674,2410,1869,2796,2396,8979,6152,1236,4739,7553,986,6152
"C5orf24",4637,2542,4302,4539,4380,3837,4833,4377,8606,4931,6707,10203,2852,1152,6348
"C5orf34",272,813,765,896,127,222,344,70,619,252,497,625,431,48,454
"C5orf38",67,283,2662,1142,106,339,874,348,545,8,2170,928,381,294,174
"C5orf46",2151,993,20731,54,2,1317,216,676,6482,403,2393,10752,1492,1,9030
"C5orf47",0,0,0,0,0,0,4,1,1,0,1,1,0,0,1
"C5orf49",55,85,86,82,16,87,181,107,95,279,163,242,1304,209,77
"C5orf51",1963,1430,1832,4717,2177,1869,1881,2272,4060,1861,1443,2516,2984,1745,2010
"C5orf52",0,0,0,0,0,7,4,0,0,0,0,0,0,0,8
"C5orf63",571,231,813,1019,392,374,445,373,909,696,531,732,414,249,920
"C6",37,4,1,6,20981,30,3438,1,0,45583,1,1,11,7,3
"C6orf118",272,0,11,0,0,0,1,0,54,0,0,13,0,1,0
"C6orf120",1480,1624,2931,4177,5432,2696,3848,1392,6611,4044,2805,2895,2267,1604,3643
"C6orf132",854,2349,1229,2425,138,745,414,2263,825,613,2958,2528,798,129,4929
"C6orf136",750,658,1288,1702,518,940,824,857,1085,1023,2207,2753,703,269,2608
"C6orf141",216,1183,47,56,720,528,357,101,519,288,4384,1944,99,153,645
"C6orf15",640,961,176,0,0,35,361,20051,3477,953,3425,721,0,155,4313
"C6orf163",41,12,53,32,15,29,38,10,25,25,309,85,90,57,32
"C6orf201",11,11,6,11,20,2,10,0,0,56,93,23,25,31,15
"C6orf223",89,36,9,70,1,407,8,5969,15,21,408,1310,35,236,62
"C6orf226",903,1246,1256,1112,840,583,1127,2905,268,1374,3638,1994,812,362,3041
"C6orf47",3147,2341,4034,6645,3557,4707,3632,3077,3550,3862,4309,8094,4728,134,5045
"C6orf52",582,232,256,43,154,100,110,189,23,764,521,125,237,113,1205
"C6orf58",5,0,0,0,1,11,15,0,9,0,0,6,6,0,17
"C6orf62",13925,21870,27981,32193,21411,22988,23592,20937,46673,29981,33289,28507,38490,10164,30953
"C6orf89",8987,6992,9131,11319,9760,8374,8957,8494,20563,9528,16778,23156,10395,3513,18714
"C7",825,386,137,644,56596,841,30057,1460,0,5755,47,22,1935,18,649
"C7orf25",52,22,181,170,99,75,78,74,163,102,256,173,211,136,193
"C7orf26",2229,2513,3641,2220,2459,2150,3344,1886,6331,2277,2940,3862,4144,898,15290
"C7orf31",40,437,363,52,450,457,408,178,643,190,392,229,956,128,502
"C7orf33",0,0,0,0,0,1,2,0,0,0,136,0,0,0,0
"C7orf50",9211,18617,34620,12541,9241,11158,11253,9231,13732,11678,15736,14418,13258,3354,16065
"C7orf57",0,0,7,0,0,70,2,2,15,45,18,0,0,0,1
"C7orf61",1163,18,89,2,4,43,15,43,317,17,136,26,38,84,140
"C7orf77",0,0,0,0,0,0,4,4,1,1,0,9,0,0,9
"C8A",0,0,0,0,1,0,0,0,0,38139,0,0,0,67,0
"C8B",0,0,0,1,10,54,8,4,0,68742,0,0,0,199,0
"C8G",114,8,148,16,11,16,16,6,46,30592,13,25,36,5,141
"C8orf33",8189,5727,11578,7426,7580,5177,9018,22409,18738,8541,11063,21354,7663,3244,17293
"C8orf34",0,39,39,9,328,183,735,141,17,65,19,40,77,184,58
"C8orf37",409,370,131,414,404,135,299,1102,1253,501,758,973,609,357,354
"C8orf48",0,84,98,212,172,204,228,299,132,105,167,35,240,0,98
"C8orf58",998,512,1160,866,801,1909,1435,1223,2179,239,987,3271,814,566,834
"C8orf74",10,1,0,0,0,1,2,0,0,0,0,0,0,0,0
"C8orf76",1168,1832,2979,1523,678,1056,853,1964,3415,1058,2534,2968,2277,1228,3452
"C8orf82",3704,4201,14068,5444,4633,3728,5802,10289,8841,12115,9606,17118,9644,1636,11434
"C8orf86",34,1,0,6,1,1,0,0,33,0,25,0,0,0,31
"C8orf88",24,80,79,23,273,316,311,374,49,19,67,179,57,134,79
"C8orf89",12,2,10,2,13,35,2,2,0,0,14,1,1,0,0
"C9",0,0,1,0,76,9,18,9,0,80936,0,1,1,4,0
"C9orf116",604,130,424,2144,193,293,260,216,1003,794,239,77,1326,481,92
"C9orf129",15,1,1,1,0,1,7,0,3,10,2,0,1,0,3
"C9orf131",4,22,8,1,13,0,37,0,20,1,18,12,22,135,7
"C9orf135",0,6,5,0,0,0,7,0,8,0,2,12,6,76,0
"C9orf152",99,188,234,8020,5,125,374,22,87,608,110,20,2692,19,169
"C9orf153",45,33,27,2,43,65,13,30,10,3,0,20,0,7,57
"C9orf16",6951,5121,5971,3286,3160,6474,5027,8805,2220,3325,7161,9798,4644,3007,7116
"C9orf24",265,26,43,0,108,7,178,11,8,118,289,226,10,270,336
