"GENE_SYMBOL","GSM3461245","GSM3461253"
"AMT",8.05467886741577,6.91030668679675
"AMY1A",7.07059400766856,7.92373363596631
"AMY1B",5.82059968970905,6.14074151405273
"AMY1C",11.3160375820053,11.548868737075
"AMY2A",4.94244347967806,4.70596060524136
"AMZ2",10.7344477685751,10.2607414481444
"ANAPC1",9.14734956660078,9.09470813396325
"ANAPC10",7.60479915463026,7.87356960683306
"ANAPC11",10.299692441117,10.6904832266586
"ANAPC13",10.0564185430808,11.1866801535941
"ANAPC2",5.79655077117104,5.55965212632724
"ANAPC4",9.84077062217379,9.27313912644601
"ANAPC5",11.7728662844682,10.8070659105964
"ANAPC7",5.52311262591308,5.63991700048366
"ANG",8.06962741333736,9.04526654697179
"ANGEL1",7.74774721690086,7.87583687243941
"ANGEL2",9.60823010669373,9.34608491446371
"ANGPT1",7.68798916022722,10.1231928911285
"ANGPT2",5.02561407684154,9.66730670814311
"ANGPTL2",8.25492816377843,9.58871856853563
"ANGPTL4",10.839842818028,11.6359583752952
"ANGPTL7",4.83880626212025,5.27795845347914
"ANK2",6.33653943937652,6.61379663798072
"ANK3",5.25356728537512,5.08589743988673
"ANKAR",4.56844784919492,4.51541978705577
"ANKDD1A",9.10358053855206,7.44841120973507
"ANKFY1",10.4992204997906,9.34891816835654
"ANKHD1",6.87451247019692,7.17589829126032
"ANKHD1-EIF4EBP3",5.1755566943857,5.72674814313831
"ANKIB1",9.2055583900975,9.34311820842791
"ANKLE2",8.95709391110178,8.00972673857755
"ANKMY1",7.55444617982445,6.98176361340542
"ANKMY2",7.77867517592418,8.05712963284753
"ANKRA2",6.34570990327576,7.65282510927948
"ANKRD10",7.39505627782032,8.79495846169989
"ANKRD11",9.33666501126863,9.430727534729
"ANKRD12",7.57567832207289,7.38965456081193
"ANKRD13A",9.90594434194444,9.03583259914491
"ANKRD13B",4.6545407306837,4.78502803697187
"ANKRD13C",6.24612551112535,6.71859002322929
"ANKRD13D",10.0885758582585,5.76457173629469
"ANKRD16",7.92194884729299,7.43787105376304
"ANKRD17",7.93062900786256,9.08159740879509
"ANKRD20A1",7.82246611257928,6.26366128830619
"ANKRD22",6.68777225481142,6.62703571349342
"ANKRD23",6.09311181873895,5.4474581669276
"ANKRD24",4.79751730088401,4.76860926951254
"ANKRD26",5.95103676272998,5.49473627390199
"ANKRD27",5.27177717751637,5.61357923170865
"ANKRD28",7.98805674555088,6.78187807075657
"ANKRD29",5.57485276369419,4.51585697854785
"ANKRD30B",10.4591296755545,9.83673562886785
"ANKRD33",9.48464899344656,8.36147220776216
"ANKRD34A",5.68978681972957,6.36527769393505
"ANKRD35",6.05843104404805,5.53149201944096
"ANKRD36",5.79416326210205,4.84708510269658
"ANKRD36B",6.28401965217711,5.90266864498448
"ANKRD37",7.62652973387332,8.52617779674238
"ANKRD39",9.78722397266578,7.89417980020052
"ANKRD40",7.3669198830273,6.80766815333402
"ANKRD44",5.7332763397099,5.42032187497711
"ANKRD46",7.80089297180922,7.52359088111124
"ANKRD49",8.32219969774107,6.94149556922869
"ANKRD50",8.41055437856176,8.73352188524209
"ANKRD52",6.91588593985592,5.50882859985155
"ANKRD54",9.36532485607061,8.0126086124955
"ANKRD6",7.61263085948558,5.21922760530261
"ANKRD7",5.14442593043744,4.85843668805853
"ANKRD9",10.4319587010535,9.04922930743738
"ANKS1A",11.5401714200855,9.2232719615337
"ANKS1B",4.78847705322215,5.21186647372335
"ANKS3",6.18824326027926,5.59640779315192
"ANKZF1",7.77506989965338,7.55718144655087
"ANLN",8.06845391245878,7.39367110983727
"ANO1",7.67894260683386,5.14850605312378
"ANO10",7.34744437334736,6.97169378321097
"ANO4",5.73519422505366,5.08379474368673
"ANO6",7.76992072837078,8.46820202237156
"ANO8",5.48197599613731,6.23072694029228
"ANO9",5.30246550808669,4.84206062596274
"ANP32A",5.32741332865296,5.80601130171247
"ANP32B",12.0575530108301,12.7372863360697
"ANPEP",6.65044231452824,9.6987299599125
"ANTXR1",7.52614175164451,8.877298948834
"ANTXR2",6.8769036498429,9.23806530565639
"ANXA1",11.4770980516195,11.9783053141577
"ANXA11",8.06666910787787,8.11694981329613
"ANXA13",4.48152561159361,4.52398195559914
"ANXA2",13.0034130351737,14.0659277066604
"ANXA3",6.81981312780728,4.77397589991609
"ANXA4",4.78803213665444,5.08926192451644
"ANXA5",12.7017153082276,12.2615074411636
"ANXA6",5.68417142560891,6.56774831998103
"ANXA7",9.98243416405114,9.74220533444743
"AOAH",6.90106369109065,5.99274641704534
"AOC3",5.23861994921873,4.51716464952863
"AP1B1",9.49366136091073,9.32626540856128
"AP1G1",7.99387069886725,7.49417099966181
"AP1G2",8.24826251727085,6.84360402277227
"AP1M1",10.5211668291153,10.5998039379445
"AP1S1",8.97666360970086,9.66831199137919
"AP1S2",13.6081948912541,12.5775942491044
"AP2A1",6.99289902315268,6.37361660498019
"AP2A2",6.81144353661089,6.51376394214318
"AP2B1",8.02173860038251,8.35934093259198
"AP2M1",10.4031087140524,10.7193299902257
"AP2S1",13.7555196123595,13.4546342146359
"AP3B1",9.80561476388629,10.5746836329967
"AP3D1",9.0494637861257,8.79345439632285
"AP3M1",8.88287447060306,8.94832435636343
"AP3M2",9.56379410702161,7.98223079249094
"AP3S1",7.60418320762596,9.07700826175033
"AP3S2",7.31300144297117,6.59787111980417
"AP4B1",9.66478479679162,8.51771118872869
"AP4E1",7.92676902103653,7.1242483989967
"AP4M1",6.34538741586782,6.24788956830485
"APAF1",7.01808697485737,7.54522165464193
"APBA2",4.42558981440002,5.66355062693
"APBA3",8.57208265916374,7.99678873780732
"APBB1",5.03254754712959,4.95246512470022
"APBB1IP",6.97338304256899,6.90898565997522
"APBB3",8.06798852409513,8.91261675219873
"APC",4.6327811979499,4.77347747515943
"APCDD1",7.69800602568063,8.7363302146091
"APCDD1L",4.84601877731414,11.8583239633091
"APEH",10.8927071493876,10.4478736490113
"APEX1",10.9058288090631,11.5783229883451
"APEX2",8.96476061541871,8.50871655711288
"APH1A",11.1566267656164,10.9781988830593
"APH1B",8.45009939256407,8.00548217630288
"API5",9.84672119362449,8.97894472893159
"APIP",7.66806293934672,8.29575763664781
"APITD1",7.84809351574689,7.61676796322869
"APLF",4.75682139737096,4.39742588575514
"APLN",4.51655092257054,4.88831218415896
"APLNR",7.58944620831154,5.59840591529541
"APLP1",4.75269770648421,4.63440299207752
"APLP2",8.27872793008513,9.7639129897006
"APOA1BP",11.7632497407282,11.3303211108676
"APOBEC3B",6.72015301166326,5.91324263921906
"APOBEC3C",6.52335295069689,6.30857054715561
"APOBEC3D",6.99362963474979,6.25122924627957
"APOBEC3F",6.90552803805931,7.30193939883018
"APOBEC3G",7.26179019413352,7.77667232633725
"APOBEC3H",5.10953712001994,4.61267214837435
"APOC1",13.7478239767268,9.43674955365677
"APOC2",12.299810088854,6.2818441997317
"APOC4",6.6216209231018,4.47005611754493
"APOD",14.3089734296365,11.7519395113264
"APOE",14.2755182041544,11.2947147904251
"APOL1",5.55998290108998,4.60940471618194
"APOL2",6.73820646580727,5.55796184095101
"APOL3",8.05406690920349,7.00607344508765
"APOL6",4.80861908765432,4.70301934994455
"APOLD1",6.71758117778857,5.5338634115831
"APOM",5.55269535023528,6.23518591063951
"APOO",9.32843884700747,8.77892983925602
"APOOL",7.10976912351835,7.38514375620453
"APP",10.3406129479531,10.3392899026452
