"ABCB4",0.62427,3.01364,0.16559,2.03876,0.266388,1.18989,0.822061,17.3687,0.992775,1.40771,3.18152,0.636213,0.275529,7.2069,0.131345,14.7044,30.9734,0.73353,4.61883,9.87644,2.04989,0.515231,0.367968,1.12585
"ABCB5",8.09423,0.215624,121.514,24.7267,82.6521,14.0115,0.0807229,6.95722,120.645,1.57572,2.32575,0.538246,44.4377,7.32524,0.136594,0.0152738,183.87,34.1596,4.95522,0.0727133,0,4.57885,1.2558,29.5193
"ABCB6",10.2465,16.6082,19.4595,18.4329,29.3827,22.5359,13.2806,10.9435,29.1732,14.7959,21.4544,44.0827,26.4908,7.87016,11.8741,6.13593,19.1645,11.6293,8.55976,7.72164,27.3117,18.2006,32.924,21.9032
"ABCB7",9.69719,8.74815,6.5355,8.92138,12.844,11.4677,7.29148,9.51544,8.68922,17.6359,4.39663,5.95105,4.7901,8.43094,13.4956,6.22449,12.2462,6.90627,7.29201,9.95019,8.65333,9.06521,6.00707,7.70721
"ABCB8",11.9982,12.6142,16.4767,8.35332,14.8961,15.7677,16.1842,10.5836,13.0358,13.3679,25.7315,16.1305,15.0599,13.8946,15.76,15.2692,14.771,18.7985,9.45197,11.4231,12.2911,8.42316,21.5126,32.9246
"ABCB9",2.3688,2.40221,1.23381,2.07233,0.534791,2.74804,2.08498,1.17336,2.13734,1.42402,4.30118,2.34201,2.49797,1.12607,2.42517,2.29391,1.59473,4.292,1.57261,1.38344,2.00233,3.71646,2.72318,6.55096
"ABCC1",4.83454,5.13651,6.34,2.84934,7.7096,18.4272,9.81025,9.08431,5.10489,4.87092,7.34588,13.7178,6.43374,5.36241,8.40743,4.36075,0.844467,4.56652,9.31219,11.8822,8.91529,7.80369,8.89031,5.71843
"ABCC10",2.50909,9.84185,9.5588,18.183,6.67331,14.025,10.5318,7.64413,23.1513,16.5757,8.25604,5.93022,12.2065,7.71881,7.75452,8.63062,9.14595,9.80822,11.3155,12.1965,10.1668,7.05304,20.5066,10.8831
"ABCC11",0.107425,0.0728053,3.90621,0.494014,0.226039,0.0528279,0.224838,2.35113,15.3829,2.10673,0.252418,12.4214,1.54828,0.276456,0.0255913,0.0868213,0.24935,0.452021,0.186308,0.102103,0.125099,1.19668,0.670062,0.319203
"ABCC12",0,0,0.0711651,0,0,0,0,0.14085,0,0.0270144,0,0.779406,0.0179508,0,0,0,0.00561999,0,0.0563364,0.0372346,0.0369894,0.0182379,0,0
"ABCC2",0.622886,1.27248,5.01016,4.08873,17.3948,7.65298,0.482784,0.253137,16.1458,0.512558,0.734536,2.6435,2.63079,0.572198,0.0651631,0.455167,18.9192,2.30705,0.200716,0.55755,0.0725036,5.46993,3.34223,3.50304
"ABCC3",1.7608,24.5116,0.157009,0.24175,0.943409,0.735166,4.18139,29.7582,1.84879,0.146567,1.66017,0.502337,2.834,1.83898,0.228493,2.78448,0.253099,2.87739,17.3614,6.95407,0.629551,1.58638,0.99428,1.07236
"ABCC4",4.92674,2.17849,0.119346,3.41411,7.41898,12.3297,2.66176,2.84462,1.91751,2.19609,3.52547,5.55064,1.40596,3.81007,8.73045,1.21316,0.395668,0.868014,1.73211,2.49213,2.89488,1.36807,1.6698,2.23735
"ABCC5",7.126,18.6759,7.65993,13.7415,9.45835,17.322,5.71477,10.556,10.3329,7.68176,6.985,29.7238,10.4899,6.16317,7.12752,6.26664,7.50595,7.28935,10.7721,5.70418,31.8344,11.8224,13.6965,18.7476
