"GENE_SYMBOL","GSM5133931--MGH27","GSM5133940--MGH98"
"ACIN1",13783,9138
"ACKR1",294,29
"ACKR2",18,11
"ACKR3",217,661
"ACKR4",26,43
"ACLY",11183,14867
"ACMSD",1,4
"ACO1",1272,2792
"ACO2",5544,9635
"ACOT1",429,831
"ACOT11",6,214
"ACOT12",1,1
"ACOT13",3462,2977
"ACOT2",1896,3184
"ACOT4",20,107
"ACOT6",0,1
"ACOT7",16307,7291
"ACOT8",2460,1562
"ACOT9",6435,4028
"ACOX1",2231,2874
"ACOX2",43,40
"ACOX3",1485,1175
"ACOXL",0,7
"ACP1",5863,5992
"ACP2",3147,4072
"ACP5",24070,7746
"ACP6",33,1595
"ACR",24,2
"ACRBP",49,30
"ACRV1",15,9
"ACSBG1",19,129
"ACSBG2",72,1
"ACSF2",885,157
"ACSF3",2394,1913
"ACSL1",4958,4092
"ACSL3",17080,12385
"ACSL4",3735,5145
"ACSL5",675,88
"ACSL6",6,14
"ACSM1",0,0
"ACSM2A",0,0
"ACSM2B",0,0
"ACSM3",93,49
"ACSM4",3,1
"ACSM5",28,36
"ACSM6",3,2
"ACSS1",2327,1580
"ACSS2",3340,1793
"ACSS3",41,57
"ACTA1",20,171
"ACTA2",2303,1715
"ACTB",306606,180046
"ACTBL2",3,12
"ACTC1",1,8
"ACTG1",300680,264953
"ACTG2",163,122
"ACTL10",312,181
"ACTL6A",3298,2145
"ACTL6B",0,1
"ACTL7A",0,0
"ACTL7B",1,0
"ACTL8",22,5
"ACTL9",0,2
"ACTN1",21233,16242
"ACTN2",70,120
"ACTN3",3,5
"ACTN4",26802,18909
"ACTR10",6240,6158
"ACTR1A",5742,5655
"ACTR1B",6414,3855
"ACTR2",15823,20217
"ACTR3",12216,13363
"ACTR3B",944,290
"ACTR3C",6,6
"ACTR5",841,706
"ACTR6",1542,1965
"ACTR8",1875,2362
"ACTRT1",0,0
"ACTRT2",0,0
"ACTRT3",3,73
"ACVR1",2616,3613
"ACVR1B",1305,1984
"ACVR1C",0,1166
"ACVR2A",905,1103
"ACVR2B",1190,1413
"ACVRL1",1255,391
"ACY1",637,599
"ACY3",13,1
"ACYP1",1673,954
"ACYP2",446,937
"ADA",1049,564
"ADAD1",0,0
"ADAD2",19,0
"ADAL",1430,2122
"ADAM10",15854,11344
"ADAM11",139,55
"ADAM12",636,2868
"ADAM15",8728,11532
"ADAM17",1646,1596
"ADAM18",0,0
"ADAM19",175,2081
"ADAM2",0,0
"ADAM20",4,12
"ADAM21",6,100
"ADAM22",47,114
"ADAM23",22,3205
"ADAM28",44,154
"ADAM29",0,0
"ADAM30",0,0
"ADAM32",27,16
"ADAM33",69,93
"ADAM7",0,0
"ADAM8",147,930
"ADAM9",3627,7184
"ADAMDEC1",8,25
"ADAMTS1",781,1619
"ADAMTS10",242,65
"ADAMTS12",205,665
"ADAMTS13",1455,311
"ADAMTS14",117,182
"ADAMTS15",35,179
"ADAMTS16",26,35
"ADAMTS17",198,240
"ADAMTS18",14,5
"ADAMTS19",3,1
"ADAMTS2",629,1505
"ADAMTS20",0,0
"ADAMTS3",62,215
"ADAMTS4",258,2265
"ADAMTS5",63,207
"ADAMTS6",53,42
"ADAMTS7",279,461
"ADAMTS8",38,3
"ADAMTS9",1295,213
"ADAMTSL1",417,141
"ADAMTSL2",99,197
"ADAMTSL3",205,34
"ADAMTSL4",279,219
"ADAMTSL5",559,657
"ADAP1",59,25
"ADAP2",244,326
"ADAR",11053,29828
"ADARB1",2245,1574
"ADARB2",61,2
"ADAT1",2035,2143
"ADAT2",604,458
"ADAT3",603,183
"ADCK1",1650,1083
"ADCK2",1882,1264
"ADCK5",1292,686
"ADCY1",132,51
"ADCY10",4,6
"ADCY2",8,13
"ADCY3",468,982
"ADCY4",1094,99
"ADCY5",45,62
"ADCY6",3392,4690
"ADCY7",57,81
"ADCY8",1,2
"ADCY9",1375,1906
"ADCYAP1",26,0
"ADCYAP1R1",246,54
"ADD1",9857,13512
"ADD2",30,248
"ADD3",1955,4935
"ADGB",0,0
"ADGRA1",0,1
"ADGRA2",938,4452
"ADGRA3",2111,4516
"ADGRB1",189,32
"ADGRB2",120,225
"ADGRB3",3,2
"ADGRD1",73,154
"ADGRD2",2,0
"ADGRE1",8,2
"ADGRE2",324,650
"ADGRE3",1,1
"ADGRE5",2786,3635
"ADGRF1",5,1
"ADGRF2",1,0
"ADGRF3",35,20
"ADGRF4",0,1
"ADGRF5",3388,651
"ADGRG1",1345,23574
"ADGRG2",102,69
"ADGRG3",0,3
"ADGRG4",1,0
"ADGRG5",24,3
"ADGRG6",180,835
"ADGRG7",0,1
"ADGRL1",2546,1433
"ADGRL2",826,402
"ADGRL3",1,20
"ADGRL4",759,857
"ADGRV1",32,111
"ADH1A",1,0
"ADH1B",21,292
"ADH1C",124,4
"ADH4",2,0
"ADH5",11079,13390
"ADH6",21,13
"ADH7",28,1
"ADHFE1",530,588
"ADI1",9145,15112
"ADIG",0,0
"ADIPOQ",1,68
"ADIPOR1",8749,18423
"ADIPOR2",17182,14409
"ADIRF",0,0
"ADK",790,1143
"ADM",225,518
"ADM2",15,11
"ADM5",57,38
"ADNP",7210,10289
"ADNP2",1494,1759
"ADO",2834,1849
"ADORA1",43,20
"ADORA2A",6,2
"ADORA2B",8,377
"ADPGK",3805,4142
"ADPRH",222,2092
"ADPRHL1",51,36
"ADPRM",663,949
"ADRA1A",4,1
"ADRA1B",40,17
"ADRA1D",18,3
"ADRA2A",48,43
"ADRA2B",203,3
"ADRA2C",2399,101
"ADRB1",1,1
"ADRB2",39,52
"ADRB3",87,1
"ADRM1",5598,3992
"ADSL",7419,5813
"ADTRP",59,98
"AEBP1",88784,53162
"AEBP2",2316,2222
"AEN",6005,2820
"AFAP1",3068,1160
"AFAP1L1",1887,3266
"AFAP1L2",119,165
"AFF1",3734,5008
"AFF2",3,80
"AFF3",4302,23
"AFF4",7565,9596
"AFG3L2",8369,10769
"AFM",0,0
"AFMID",1176,981
"AFP",0,2
"AFTPH",1814,1782
"AGA",1375,2357
"AGAP1",1766,3378
"AGAP2",304,116
"AGAP3",8803,5948
"AGAP4",201,85
"AGAP5",18,6
"AGAP6",832,195
"AGAP9",287,92
"AGBL1",0,1
"AGBL2",103,88
"AGBL3",273,197
"AGBL4",2,6
"AGBL5",1183,3130
"AGER",733,254
"AGFG1",4660,4496
"AGFG2",2724,1011
"AGGF1",2183,3647
"AGK",2807,2842
"AGL",1418,2467
"AGMAT",20,106
"AGMO",748,123
"AGO1",2458,3165
"AGO2",3770,1584
"AGO3",1757,921
"AGO4",1273,1360
"AGPAT1",9053,12003
"AGPAT2",6087,3849
"AGPAT3",4023,6493
