"GENE_SYMBOL","TCGA-DA-A3F2","TCGA-FR-A3YN","TCGA-FR-A3YO","TCGA-FR-A8YD","TCGA-GN-A8LK","TCGA-QB-AA9O","TCGA-WE-A8K5","TCGA-WE-AAA0"
"NUTM2F",0,0,0,0,0,0,2,0
"NUTM2G",2,8,0,3,14,5,31,10
"NVL",217,1886,255,486,987,544,1495,1761
"NWD1",0,2,0,199,0,0,0,1
"NWD2",0,0,0,0,0,0,3,0
"NXF1",1732,5921,3452,3330,4549,1715,5211,5729
"NXF2",0,0,0,0,0,0,0,0
"NXF2B",0,0,0,0,0,1,0,0
"NXF3",25,2,7,4,4,1,20,5
"NXF5",0,0,0,0,0,0,0,0
"NXN",2732,121,1008,3555,968,276,1675,163
"NXNL1",0,12,0,0,1,0,9,1
"NXNL2",0,17,1,2,4,0,1,1
"NXPE1",0,0,3,0,0,0,1,0
"NXPE2",0,0,0,0,0,0,1,0
"NXPE3",622,2612,590,127,628,414,205,1509
"NXPE4",0,0,0,0,0,0,1,0
"NXPH1",0,0,1,1,0,2,0,2
"NXPH2",0,0,0,0,0,0,0,0
"NXPH3",225,15,31,111,56,12,21,35
"NXPH4",35,13,774,2125,316,17,84,20
"NXT1",357,1026,1264,931,1445,1247,916,1069
"NXT2",85,1526,143,169,433,181,1738,1067
"NYAP1",6,27,22,75,32,304,52,1
"NYAP2",0,0,1,2,0,0,0,1
"NYNRIN",1041,272,817,1332,352,137,680,128
"NYX",0,3,0,17,1,2,24,0
"OAF",3787,2544,1268,4776,2167,1994,1878,2357
"OARD1",329,7312,720,1731,1143,1268,1219,1677
"OAS1",1800,3549,982,264,324,551,934,5943
"OAS2",3453,5741,1621,682,432,713,2464,13489
"OAS3",1976,11016,5633,584,3010,1025,2323,9690
"OASL",810,577,178,37,20,199,238,597
"OAT",959,6892,3984,1611,4106,2322,4638,10368
"OAZ1",37179,32009,65077,21652,43011,15040,31101,33993
"OAZ2",3068,7142,9652,3154,7464,2255,5396,5078
"OAZ3",36,364,147,104,253,132,90,167
"OBFC1",296,1026,207,478,643,638,579,1382
"OBP2A",33,0,2,0,2,77,7,0
"OBP2B",0,0,2,0,0,1,1,0
"OBSCN",436,1499,169,1380,1266,157,674,291
"OBSL1",1215,7755,6144,7949,3314,3087,11921,3119
"OC90",0,0,1,4,33,14,1,5
"OCA2",10,159,9973,1642,9673,1020,13,396
"OCEL1",1057,656,1250,940,922,852,675,1026
"OCIAD1",938,10286,1479,1867,3576,5096,5829,8860
"OCIAD2",220,132,99,141,365,1133,68,2143
"OCLM",0,17,0,2,1,1,10,13
"OCLN",0,4,2,94,10,24,6,4
"OCM",0,9,1,1,0,3,3,13
"OCM2",0,0,0,0,0,0,0,0
"OCRL",445,4626,1553,1343,2465,799,1610,1860
"OCSTAMP",12,2,3,1,0,7,2,0
"ODAM",0,1,0,1,1,0,0,1
"ODC1",1272,5504,6565,3843,6983,3951,1999,3576
"ODF1",0,0,0,0,1,0,0,0
"ODF2",1234,3131,2569,1853,2278,1003,4573,3206
"ODF2L",88,1674,97,147,303,438,1439,2817
"ODF3",0,1,0,0,0,0,0,0
"ODF3B",1071,433,387,342,287,542,730,1199
"ODF3L1",24,84,22,351,27,8,37,95
"ODF3L2",4,1,72,189,5,91,8,17
"ODF4",0,0,0,0,1,0,0,1
"OFCC1",0,2,33,1,1,5,2,3
"OFD1",175,1142,220,287,661,665,1107,1197
"OGDH",5871,19396,17207,16214,10946,4716,15636,11080
"OGDHL",18,85,5,12,1173,366,5,17
"OGFOD1",861,4404,1678,2154,1247,1457,2328,3407
"OGFOD2",75,117,171,121,164,31,127,160
"OGFOD3",1937,4897,3930,1544,3404,1022,2540,5178
"OGFR",4389,4714,4018,2887,4890,3782,5206,4095
"OGFRL1",309,796,120,106,274,619,1455,1424
"OGG1",645,1210,999,1283,963,598,1031,1111
"OGN",381,1,0,3,2,4,235,2
"OGT",792,8127,986,1922,1857,2605,9478,6707
"OIP5",26,59,124,40,114,81,218,168
"OIT3",1,14,42,0,0,2,23,32
"OLA1",658,7528,1941,1412,3534,2519,4484,6265
"OLAH",0,0,8,1,1,0,1,2
"OLFM1",163,262,148,2101,3557,29,91,173
"OLFM2",1166,33,989,1858,169,668,529,97
"OLFM3",0,0,0,0,0,0,3,1
"OLFM4",5,2,0,0,0,0,0,0
"OLFML1",1855,125,159,72,49,66,442,109
"OLFML2A",2465,1615,1510,442,568,405,3323,1062
"OLFML2B",17634,878,2543,281,1154,357,5921,3609
"OLFML3",7990,785,669,467,74,1140,2007,367
"OLIG1",1,80,51,153,54,1462,468,4
"OLIG2",1,9,133,4,5,295,44,1
"OLIG3",0,0,0,0,0,0,1,0
"OLR1",986,350,108,88,1,218,233,179
"OMA1",97,2087,146,324,542,247,417,1264
"OMD",71,14,0,0,0,24,170,4
"OMG",12,74,17,89,5,3,102,68
"OMP",0,5,6,9,0,1,29,0
"ONECUT1",1,40,14,6,109,35,12,66
"ONECUT2",2,46,60,27,318,360,1,32
"ONECUT3",0,3,4,0,1,0,1,2
"OOEP",0,0,0,17,0,0,76,1
"OOSP2",0,0,0,0,0,0,0,0
"OPA1",473,4676,1252,1303,3197,2100,4052,3773
"OPA3",1079,2668,1717,1951,4037,1312,2589,2805
"OPALIN",0,0,0,1,0,0,0,0
"OPCML",70,1,8,2,4,0,38,0
"OPHN1",74,3785,219,283,374,1441,655,948
"OPLAH",413,246,66,1400,32,130,71,491
"OPN1LW",0,0,0,0,0,0,0,0
"OPN1MW",0,0,0,0,0,0,0,0
"OPN1MW2",0,0,0,0,0,0,0,0
"OPN1SW",35,759,54,215,137,270,321,387
"OPN3",274,790,135,748,113,238,1010,932
"OPN4",38,1,22,0,19,2,4,0
"OPN5",0,0,2,0,0,0,11,0
"OPRD1",23,638,626,23,55,33,501,416
"OPRK1",0,0,2,0,2,0,1,2
"OPRL1",350,435,136,545,71,141,325,77
"OPRM1",0,0,0,0,0,0,0,1
"OPTC",0,0,0,2,2,0,0,0
"OPTN",1318,6718,607,571,4434,2017,7391,13686
"OR10A2",0,0,0,0,0,0,0,0
"OR10A3",0,0,0,0,0,0,0,0
"OR10A4",0,0,0,0,0,0,0,0
"OR10A5",0,0,0,0,0,0,0,0
"OR10A6",0,0,0,0,0,0,0,0
"OR10A7",0,0,0,0,0,0,0,0
"OR10AD1",0,2,0,1,2,0,2,1
"OR10AG1",0,0,0,0,0,0,0,0
"OR10C1",0,0,0,0,0,0,0,0
"OR10D3",0,1,2,0,0,0,0,0
"OR10G2",0,1,0,0,0,0,0,0
"OR10G3",0,0,0,0,0,0,0,0
"OR10G4",0,0,0,0,0,0,0,0
"OR10G6",0,0,0,0,0,0,0,0
"OR10G7",0,0,0,0,0,0,0,0
"OR10G8",0,0,0,0,0,0,0,0
"OR10G9",0,0,0,0,0,0,0,0
"OR10H1",0,0,0,0,0,0,0,0
"OR10H2",0,0,0,0,0,0,0,0
"OR10H3",0,0,0,0,0,0,0,0
"OR10H4",0,0,0,0,0,0,0,0
"OR10H5",0,0,0,0,0,0,0,0
"OR10J1",0,1,0,0,0,0,0,0
"OR10J3",0,0,0,0,0,0,0,0
"OR10J5",0,0,0,0,0,0,0,0
"OR10K1",0,0,0,0,0,0,0,0
"OR10K2",0,0,0,0,0,0,0,0
"OR10P1",0,0,0,0,0,0,0,0
"OR10Q1",0,1,0,0,1,0,0,0
"OR10R2",0,0,0,0,0,0,0,0
"OR10S1",0,0,0,0,0,0,0,0
"OR10T2",0,0,0,0,0,0,0,0
"OR10V1",0,0,0,0,0,0,0,0
"OR10W1",0,0,0,0,0,0,0,0
"OR10X1",0,0,0,0,0,0,0,0
"OR10Z1",0,0,0,0,0,0,0,0
"OR11A1",0,0,0,0,0,0,0,0
"OR11G2",0,0,0,0,0,0,0,0
"OR11H1",0,0,0,0,0,0,0,0
"OR11H12",0,0,0,0,0,0,0,0
"OR11H2",0,0,0,0,0,0,0,0
"OR11H4",0,0,0,0,0,0,0,0
"OR11H6",0,0,0,0,2,0,0,0
"OR11L1",0,0,0,0,0,0,0,0
"OR12D2",0,0,0,0,0,0,0,0
"OR12D3",0,0,0,0,0,0,0,0
"OR13A1",0,2,0,0,0,0,1,7
"OR13C2",0,0,0,0,0,0,0,0
"OR13C3",0,0,0,0,0,0,0,0
"OR13C4",0,0,0,0,0,0,0,0
"OR13C5",0,0,0,0,0,1,0,0
"OR13C8",0,0,0,0,0,0,0,0
"OR13C9",0,1,0,0,0,0,0,0
"OR13D1",0,0,0,0,0,0,0,0
"OR13F1",0,1,0,0,0,0,0,0
"OR13G1",0,0,0,0,0,0,0,0
"OR13H1",0,0,0,0,0,0,0,0
"OR13J1",0,0,0,0,0,0,0,0
"OR14A16",0,0,0,0,0,0,0,0
"OR14A2",0,0,0,0,0,0,0,0
"OR14C36",0,2,0,0,0,0,0,0
"OR14I1",0,0,0,0,0,1,0,0
"OR14J1",0,0,0,0,0,0,0,0
"OR14K1",0,0,0,0,0,0,0,1
"OR1A1",0,0,0,0,0,0,0,0
"OR1A2",0,0,0,0,0,0,0,0
"OR1B1",0,0,0,0,0,0,0,0
"OR1C1",0,0,0,0,2,0,0,0
"OR1D2",0,0,0,0,0,0,0,0
"OR1D5",0,0,0,0,0,0,0,0
"OR1E1",1,0,0,0,0,0,0,0
"OR1E2",0,0,0,0,0,0,0,0
"OR1F1",0,0,12,3,1,1,0,0
"OR1G1",0,0,0,0,1,0,0,0
"OR1I1",0,0,0,0,0,1,0,0
"OR1J1",0,0,0,0,0,2,1,0
"OR1J2",0,0,0,0,0,0,0,0
"OR1J4",1,1,0,0,0,1,1,0
"OR1K1",0,0,0,0,0,0,0,0
"OR1L1",0,0,0,0,0,0,0,0
"OR1L3",0,0,0,0,0,0,0,0
"OR1L4",0,0,0,0,0,0,0,0
"OR1L6",0,0,0,0,0,0,0,0
"OR1L8",0,0,0,0,1,0,4,1
"OR1M1",0,0,0,0,0,0,0,0
"OR1N1",0,0,0,0,0,0,0,0
"OR1N2",0,0,0,0,1,0,0,0
"OR1Q1",0,0,0,0,0,0,5,0
"OR1S1",0,0,0,0,0,0,0,0
"OR1S2",0,0,0,0,0,0,0,0
"OR2A1",0,0,0,0,0,0,2,2
"OR2A12",0,0,0,0,0,0,0,0
"OR2A14",0,0,0,0,1,0,1,1
"OR2A2",0,0,0,0,0,0,0,0
"OR2A25",0,0,0,0,0,0,0,0
"OR2A4",0,1,0,0,0,0,0,0
"OR2A42",0,1,0,0,0,0,1,1
"OR2A5",0,0,0,0,0,0,0,0
"OR2A7",1,13,6,5,3,0,30,3
"OR2AE1",0,1,1,0,1,0,2,2
"OR2AG1",0,0,0,0,0,0,0,0
"OR2AG2",0,5,0,0,0,0,0,0
"OR2AJ1",0,8,0,0,0,0,0,0
"OR2AK2",0,3,0,0,1,0,0,1
"OR2AP1",0,0,0,0,0,0,0,0
"OR2AT4",0,0,0,1,0,0,0,0
"OR2B11",0,0,0,0,0,0,0,0
"OR2B2",0,0,0,0,0,0,0,0
"OR2B3",0,0,0,0,0,0,0,0
"OR2B6",0,0,1,4,2,2,5,2
"OR2C1",1,1,0,1,0,2,1,1
"OR2C3",9,1,2,0,122,2,0,1
"OR2D2",0,0,0,0,0,0,0,0
"OR2D3",0,1,0,0,0,0,0,0
"OR2F2",0,0,0,0,0,0,0,0
"OR2G2",0,0,0,0,0,0,0,0
"OR2G3",0,0,0,0,0,0,0,0
"OR2G6",0,0,0,0,0,0,0,0
"OR2H1",0,0,0,0,0,0,0,0
"OR2H2",0,3,0,1,2,0,1,4
"OR2J1",0,0,0,0,0,0,0,0
"OR2J2",0,0,0,0,0,0,0,0
"OR2J3",0,0,0,0,0,0,0,0
"OR2K2",0,0,0,0,0,0,0,0
"OR2L13",0,127,0,0,0,0,0,13
"OR2L2",0,29,0,0,0,0,0,11
"OR2L3",0,1,0,0,0,0,0,1
"OR2L5",0,6,0,0,0,0,0,1
"OR2L8",0,0,0,0,0,0,0,0
"OR2M2",0,0,0,0,0,0,0,0
"OR2M3",0,0,0,0,0,0,0,0
"OR2M4",0,0,0,0,0,0,0,1
"OR2M5",0,0,0,0,0,0,0,0
"OR2M7",0,0,0,0,0,0,0,0
"OR2S2",0,0,0,0,0,0,0,0
"OR2T1",0,0,0,0,0,0,0,0
"OR2T10",0,0,0,0,0,0,0,1
"OR2T11",0,0,0,0,0,0,0,0
"OR2T12",0,0,0,0,0,0,0,0
"OR2T2",0,0,0,0,0,0,0,0
"OR2T27",0,0,0,0,0,0,0,0
"OR2T29",0,0,0,0,0,0,0,0
"OR2T3",0,0,0,0,0,0,0,0
"OR2T33",0,0,0,0,0,0,0,0
"OR2T34",0,0,0,0,0,0,0,0
"OR2T35",0,0,0,0,0,0,0,0
"OR2T4",0,0,0,0,0,0,1,0
"OR2T5",0,0,0,0,0,0,0,0
"OR2T6",0,0,0,0,0,0,0,0
"OR2T7",0,0,0,0,0,0,0,0
"OR2T8",0,1,0,0,0,0,0,0
"OR2V1",0,0,0,2,0,0,0,0
"OR2V2",0,0,0,0,0,0,0,0
"OR2W1",0,0,0,0,0,0,0,0
"OR2W3",6,45,3,0,37,1,0,2
"OR2Y1",0,0,0,0,0,0,0,0
"OR2Z1",0,0,0,0,0,0,0,0
"OR3A1",0,0,0,0,0,0,0,0
"OR3A2",0,1,0,0,0,0,0,0
"OR3A3",0,0,0,0,0,0,0,0
"OR4A15",0,0,0,0,0,0,0,0
"OR4A16",0,0,0,0,0,0,0,0
"OR4A47",0,0,0,0,1,0,1,0
"OR4A5",0,0,0,0,0,0,0,0
"OR4B1",0,0,0,0,0,0,0,0
"OR4C11",0,0,0,0,0,0,0,0
"OR4C12",0,0,0,0,0,0,0,0
"OR4C13",0,0,0,0,0,0,0,0
"OR4C15",0,0,0,0,0,0,0,0
"OR4C16",0,0,0,0,0,0,0,0
"OR4C3",0,0,0,0,0,0,0,0
"OR4C46",0,0,0,0,0,0,0,0
"OR4C5",0,0,0,0,0,0,0,0
"OR4C6",10,1,0,0,0,0,1,0
"OR4D1",0,0,0,0,0,0,0,0
"OR4D10",0,0,0,0,0,0,0,0
"OR4D11",0,0,0,0,0,0,0,0
"OR4D2",0,0,0,0,0,0,0,0
"OR4D5",0,0,0,0,0,0,0,0
"OR4D6",0,0,0,0,0,0,0,0
"OR4D9",0,0,0,0,0,0,0,0
"OR4E2",0,0,0,0,0,0,0,0
"OR4F15",0,3,3,1,1,1,0,1
"OR4F16",0,0,0,0,0,0,0,0
"OR4F17",0,0,0,0,0,0,0,0
"OR4F21",0,0,0,0,0,0,0,0
"OR4F29",0,0,0,0,0,0,0,0
"OR4F3",0,0,0,0,0,0,0,0
"OR4F4",0,0,0,0,0,0,0,0
"OR4F5",0,0,0,0,0,0,0,0
"OR4F6",0,0,0,0,0,0,0,0
"OR4K1",0,0,0,0,0,0,0,0
"OR4K13",0,0,0,0,0,0,0,0
"OR4K14",0,0,0,0,0,0,0,0
"OR4K15",0,0,0,0,0,0,0,0
"OR4K17",0,0,0,0,0,0,0,0
"OR4K2",0,0,0,0,1,0,0,0
"OR4K5",0,0,0,0,0,0,0,0
"OR4L1",0,0,0,0,0,0,0,0
"OR4M1",0,0,0,0,0,0,0,0
"OR4M2",0,0,0,0,0,0,0,0
"OR4N2",0,0,0,0,0,0,0,0
"OR4N4",0,0,0,0,0,0,0,0
"OR4N5",0,0,0,0,0,0,0,0
"OR4P4",0,0,0,0,0,0,0,0
"OR4Q3",0,0,0,0,0,0,0,0
"OR4S1",0,0,0,0,0,0,0,0
"OR4S2",0,0,0,0,0,0,0,0
"OR4X1",0,0,0,0,0,0,0,0
"OR4X2",0,0,0,0,0,0,0,0
"OR51A2",0,0,0,0,0,0,0,0
"OR51A4",0,0,0,0,0,0,0,0
"OR51A7",0,0,0,0,0,0,0,0
"OR51B2",0,0,0,0,0,0,0,0
"OR51B4",0,0,3,0,0,1,0,0
"OR51B5",0,0,0,0,0,0,0,0
"OR51B6",0,0,0,0,0,0,0,0
"OR51D1",0,0,0,0,0,0,0,0
"OR51E1",47,11,43,2,16,5,71,15
"OR51E2",24,4,8,0,2,0,7,3
"OR51F1",0,0,0,0,0,0,0,0
"OR51F2",0,0,0,0,0,0,0,0
"OR51G1",0,0,0,0,0,0,0,0
"OR51G2",0,0,0,0,0,0,0,1
"OR51H1",0,0,0,0,0,0,0,0
"OR51I1",0,0,0,0,0,0,0,0
"OR51I2",0,0,0,0,0,0,0,0
"OR51J1",0,0,0,0,0,0,0,0
"OR51L1",0,0,0,0,0,0,0,0
"OR51M1",0,0,0,0,0,0,0,0
"OR51Q1",0,0,0,0,0,0,0,0
"OR51S1",0,0,0,0,0,0,0,0
"OR51T1",0,0,0,0,0,0,0,0
"OR51V1",0,0,0,0,0,0,0,0
"OR52A1",0,0,0,0,0,0,0,0
"OR52A5",0,0,0,0,0,0,0,0
"OR52B2",0,0,0,0,0,0,0,0
"OR52B6",0,0,0,0,0,0,0,0
"OR52D1",0,0,0,0,0,0,0,0
"OR52E2",0,0,0,0,0,0,0,0
"OR52E4",0,0,0,0,0,0,0,0
"OR52E5",0,0,0,0,0,0,0,0
"OR52E6",0,0,0,0,0,0,0,0
"OR52E8",0,0,0,0,2,1,0,2
"OR52H1",0,0,0,0,0,0,0,0
"OR52I1",0,0,0,0,0,0,0,0
"OR52I2",0,0,0,0,0,0,0,0
"OR52J3",0,0,0,0,0,1,0,0
"OR52K1",0,0,0,0,0,0,0,0
"OR52K2",0,0,0,1,0,0,0,0
"OR52L1",0,0,0,0,0,0,0,0
"OR52M1",0,0,0,0,0,0,0,0
"OR52N1",0,0,0,0,0,0,0,0
"OR52N2",0,0,0,0,0,0,0,0
"OR52N4",1,1,0,0,0,1,1,4
"OR52N5",0,0,0,0,0,0,0,0
"OR52R1",0,0,0,0,0,0,0,0
"OR52W1",0,0,0,0,0,0,0,0
"OR56A1",0,0,0,0,0,0,0,0
"OR56A3",0,0,0,0,0,0,0,0
"OR56A4",0,0,0,0,0,0,0,0
"OR56A5",0,0,0,0,0,1,0,0
"OR56B1",0,0,0,0,0,0,0,0
"OR56B4",0,1,0,0,0,1,0,0
"OR5A1",0,0,1,0,0,0,0,0
"OR5A2",0,0,0,0,0,0,0,0
"OR5AC2",0,0,0,0,0,0,0,0
"OR5AK2",0,0,0,0,2,0,0,0
"OR5AN1",0,0,0,0,0,0,0,0
"OR5AP2",0,0,0,0,0,0,0,0
"OR5AR1",0,0,0,0,0,0,0,0
"OR5AS1",0,0,0,0,0,0,0,0
"OR5AU1",0,0,1,1,0,0,0,0
"OR5B12",0,0,0,1,0,0,0,0
"OR5B17",0,0,0,0,0,0,0,0
"OR5B2",0,0,0,0,0,0,0,0
"OR5B21",0,1,0,0,0,0,0,0
"OR5B3",0,0,0,0,0,0,0,0
"OR5C1",0,0,0,0,0,0,0,0
"OR5D13",0,0,0,0,0,0,0,0
"OR5D14",0,0,0,0,0,0,0,0
"OR5D16",0,0,0,0,0,0,0,0
"OR5D18",0,0,0,0,0,0,0,0
"OR5F1",0,0,0,0,0,0,0,0
"OR5H1",0,0,0,0,0,0,0,0
"OR5H14",0,0,0,0,0,0,0,0
"OR5H15",0,0,0,0,0,0,0,0
"OR5H2",0,0,0,0,0,0,0,0
"OR5H6",0,0,0,0,0,0,0,0
"OR5I1",0,0,0,0,0,0,0,0
"OR5J2",0,0,0,3,1,16,34,0
"OR5K1",0,0,0,0,0,0,0,0
"OR5K2",0,0,0,2,0,0,10,1
"OR5K3",0,0,0,0,0,0,0,0
"OR5K4",0,0,0,0,0,0,0,0
"OR5L1",0,0,0,0,0,0,0,0
"OR5L2",0,0,0,0,0,0,0,0
"OR5M1",0,0,0,0,0,0,0,0
"OR5M10",0,0,0,0,0,0,0,0
"OR5M11",0,0,0,0,0,0,0,0
"OR5M3",0,0,0,0,0,0,0,0
"OR5M8",0,0,0,0,0,0,0,0
"OR5M9",0,0,0,0,0,0,0,0
"OR5P2",0,0,0,0,0,0,0,0
"OR5P3",0,0,0,0,0,0,0,0
"OR5R1",0,0,0,0,0,0,0,0
"OR5T1",0,0,0,0,0,0,4,0
"OR5T2",0,0,0,0,0,0,2,0
"OR5T3",0,0,0,0,0,0,10,0
"OR5V1",0,0,0,0,0,0,0,0
"OR5W2",0,0,0,0,0,0,0,0
"OR6A2",0,0,0,0,0,0,0,0
"OR6B1",0,0,0,0,0,0,0,0
"OR6B2",0,0,0,0,0,0,0,0
"OR6B3",0,1,0,0,0,0,0,0
"OR6C1",0,0,0,0,0,0,0,2
"OR6C2",0,0,0,0,0,0,0,0
"OR6C3",0,0,0,0,0,0,0,0
"OR6C4",0,0,0,0,0,0,0,1
"OR6C6",0,0,0,0,0,0,0,1
"OR6C65",0,0,0,0,0,0,0,0
"OR6C68",0,0,0,0,0,0,0,0
"OR6C70",0,0,0,0,0,0,0,0
"OR6C74",0,0,0,0,0,0,0,0
"OR6C75",0,0,0,0,0,0,0,0
"OR6C76",0,0,0,0,0,0,0,0
"OR6F1",0,0,0,0,0,0,0,0
"OR6J1",0,0,0,0,2,0,0,0
"OR6K2",0,0,0,0,0,0,0,0
"OR6K3",0,0,0,0,0,0,0,0
"OR6K6",0,0,0,0,0,0,0,0
"OR6M1",0,0,3,0,0,0,0,0
"OR6N1",0,0,0,0,0,0,0,0
"OR6N2",0,0,0,0,0,0,0,0
"OR6P1",0,0,0,0,0,0,0,0
"OR6Q1",0,0,0,0,0,0,0,0
"OR6S1",0,0,0,0,1,1,0,0
"OR6T1",1,0,0,0,0,0,0,0
"OR6V1",0,0,0,1,0,0,0,0
"OR6X1",0,0,0,0,0,0,0,0
"OR6Y1",0,0,0,0,0,0,0,0
"OR7A10",0,0,0,0,0,0,0,0
"OR7A17",0,0,0,0,0,0,0,0
"OR7A5",3,13,66,83,88,71,50,529
"OR7C1",2,0,7,30,71,52,12,162
"OR7C2",0,0,0,0,0,0,0,0
"OR7D2",0,1,0,0,1,0,258,1
"OR7D4",0,0,4,0,0,0,0,0
"OR7E24",0,0,0,1,0,0,1,0
"OR7G1",0,0,0,0,0,0,0,0
"OR7G2",0,0,0,0,0,0,1,0
"OR7G3",0,0,0,0,0,0,0,0
"OR8A1",0,1,0,1,0,0,4,0
"OR8B12",0,0,0,0,0,0,0,0
"OR8B2",0,0,0,0,0,0,1,0
"OR8B3",0,0,0,0,0,0,0,0
"OR8B4",0,0,0,0,0,0,0,0
"OR8B8",0,0,0,0,0,0,0,0
"OR8D1",0,4,0,0,0,0,1,0
"OR8D2",0,0,0,0,0,0,1,0
"OR8D4",0,0,0,0,0,0,0,0
"OR8G1",0,1,0,0,0,0,0,0
"OR8G5",4,13,0,4,0,3,11,1
"OR8H1",0,0,0,0,0,0,0,0
"OR8H2",0,0,0,0,1,0,0,0
"OR8H3",0,0,0,0,0,0,0,0
"OR8I2",0,0,0,0,0,0,0,0
"OR8J1",0,0,0,0,0,0,0,0
"OR8J3",0,0,0,0,0,0,0,0
"OR8K1",0,0,0,0,0,0,0,0
"OR8K3",0,0,0,0,0,0,0,0
"OR8K5",0,0,0,0,0,0,0,0
"OR8S1",0,0,0,0,0,0,0,0
"OR8U1",0,0,0,0,0,0,1,0
"OR9A2",0,2,7,0,0,0,0,0
"OR9A4",0,0,0,0,0,0,0,0
"OR9G1",0,3,0,5,0,0,48,0
"OR9G4",0,0,0,0,0,0,0,0
"OR9I1",0,0,0,0,0,0,0,0
"OR9K2",0,0,0,0,0,0,0,0
"OR9Q1",0,1,1,0,0,0,0,0
"OR9Q2",0,0,0,0,0,0,0,0
"ORAI1",2065,1543,3054,2220,3435,1430,2187,3678
"ORAI2",5023,2659,6563,3971,2310,1738,2737,1781
"ORAI3",1151,1202,2506,1141,970,1269,949,1008
"ORAOV1",176,510,540,419,563,407,761,980
"ORC1",134,556,1248,662,523,188,715,897
"ORC2",138,2058,311,309,587,710,1587,1274
"ORC3",170,1507,304,279,1367,811,1170,1703
"ORC4",88,3133,263,252,596,836,1097,1677
"ORC5",147,4260,850,1111,1574,852,1888,728
"ORC6",15,334,271,203,397,820,1009,718
"ORM1",12,0,4,5,0,6,1,1
"ORM2",2,3,1,2,0,1,1,3
"ORMDL1",335,3704,1459,874,1293,1210,2590,2126
"ORMDL2",1104,1674,4615,2298,966,1326,909,1449
"ORMDL3",3270,8167,3281,2166,3309,1683,2296,3209
"OS9",16484,32707,39402,17366,9702,6732,12602,22475
"OSBP",1341,4732,2988,2946,3225,1435,2608,4314
"OSBP2",210,176,303,123,864,403,28,32
"OSBPL10",371,3164,1434,1256,276,607,1920,4349
"OSBPL11",227,1419,239,254,741,372,1183,1179
"OSBPL1A",404,8552,664,2131,2099,1230,6812,4666
"OSBPL2",879,3345,1588,2003,2410,1411,1954,2426
"OSBPL3",487,2174,889,346,310,1224,772,2637
"OSBPL5",1620,1827,3867,779,1644,1365,1974,3024
"OSBPL6",39,296,143,145,120,383,272,206
"OSBPL7",754,813,842,562,558,191,1042,580
"OSBPL8",296,4265,321,439,1490,1465,3465,6612
"OSBPL9",794,27166,2018,3349,8995,4105,9136,9714
"OSCAR",2983,131,892,211,9,191,82,165
"OSCP1",56,738,560,371,547,135,382,514
"OSER1",423,2610,1221,1435,1448,1151,2027,2528
"OSGEP",650,1202,1074,1331,1617,964,2529,1421
"OSGEPL1",73,1244,252,316,390,284,532,552
"OSGIN1",434,2734,2772,3230,1099,90,711,1382
"OSGIN2",315,1428,351,320,609,865,853,1203
"OSM",91,118,772,16,13,25,29,39
"OSMR",960,438,326,468,406,104,576,595
"OSR1",40,6,2,30,3,10,159,10
"OSR2",827,12,60,36,59,35,142,62
"OST4",5365,11763,20105,7538,12746,4201,7454,6864
"OSTC",1470,7926,5301,2245,1636,1943,5461,5169
"OSTF1",1102,2960,1321,1524,2380,1275,2483,4062
"OSTM1",249,23608,2040,524,8090,2434,8052,10181
"OSTN",0,4,0,1,0,0,1,15
"OTC",0,4,0,0,5,0,0,0
"OTOA",297,25,29,12,42,23,24,17
"OTOF",32,32,178,5,6,29,12,16
"OTOG",0,0,0,0,0,0,0,2
"OTOGL",2,3,8,6,2,2,3,4
"OTOL1",0,0,0,0,0,0,0,0
"OTOP1",0,0,0,0,0,0,0,0
"OTOP2",0,0,0,3,0,1,1,0
"OTOP3",0,0,0,0,0,0,0,0
"OTOR",0,0,0,0,0,0,0,0
"OTOS",0,0,1,0,0,3,0,0
"OTP",1,4,0,0,0,0,2,0
"OTUB1",3974,3061,6297,5854,9205,3259,4491,8104
"OTUB2",58,382,389,117,175,75,99,430
"OTUD1",374,693,177,452,371,385,721,780
"OTUD3",44,1730,33,147,879,172,740,1649
"OTUD4",272,5906,299,509,825,549,2591,3635
"OTUD5",3868,5444,6527,5014,4705,2522,3469,4386
"OTUD6A",0,0,0,0,0,0,0,1
"OTUD6B",25,778,115,234,217,514,929,788
"OTUD7A",70,201,548,27,76,82,42,58
"OTUD7B",511,14648,2270,12501,5449,2370,5961,7548
"OTULIN",402,1797,374,615,747,717,1323,1068
"OTX1",1,293,307,359,197,121,958,336
"OTX2",0,0,0,0,0,1,0,0
"OVCA2",0,0,0,0,0,0,0,0
"OVCH1",2,6,1,3,2,2,17,135
"OVCH2",0,0,1,1,0,0,1,1
"OVGP1",10,21,10,28,40,16,67,193
"OVOL1",7,13,1,9,63,224,13,14
"OVOL2",0,1,5,39,1,1,1,1
"OVOL3",0,4,3,1,0,3,2,0
"OXA1L",4787,7699,8265,6384,9948,5354,9631,7672
"OXCT1",254,1968,246,941,491,1391,1388,2554
"OXCT2",21,49,5,7,1,10,10,33
"OXER1",234,21,10,15,9,20,51,28
"OXGR1",2,0,0,0,0,0,1,1
"OXLD1",606,2124,1158,972,1768,1035,1819,3455
"OXNAD1",135,953,348,408,687,544,877,788
