"GENE_SYMBOL","GSM4799042--1060699","GSM4799043--1014406","GSM4799044--1048276","GSM4799050--1097378","GSM4799052--1048434","GSM4799063--1082336","GSM4799072--1095369","GSM4799074--1020492","GSM4799077--1094680","GSM4799080--1058310","GSM4799081--1092277","GSM4799082--1048939","GSM4799083--1031074","GSM4799092--1050416","GSM4799109--1037570","GSM4799112--1081859","GSM4799114--1048099","GSM4799115--1025388","GSM4799118--1029017","GSM4799119--1072745"
"RORA",2152,261,813,936,663,13,1065,2657,1,761,1584,4977,256,1189,856,1481,2,1075,110,264
"RORB",4,59,65,6,176,0,5,32,0,61,194,22,156,0,62,0,5,16,122,0
"RORC",175,0,0,102,5,0,1,115,8,15,586,106,33,1,112,695,28,1,0,0
"ROS1",0,0,0,4,18,0,0,1,1,0,6567,0,48,5,0,5,0,0,0,0
"RP1",0,0,0,3,6,0,0,67,0,0,94,0,33,24,10,0,0,0,0,0
"RP1L1",0,119,0,1,21,0,0,0,0,5,0,0,70,2,0,0,82,0,0,12
"RP2",310,16,685,272,81,2,290,54,27,261,1071,31,112,566,686,72,0,511,59,3
"RP9",358,59,412,231,279,0,421,240,0,480,203,472,68,330,240,224,0,346,489,26
"RPA1",3110,985,862,1434,434,2,2801,1451,5,2867,3287,520,173,4229,1321,716,43,4459,212,243
"RPA2",3555,450,2963,1661,431,29,2815,1703,12,6599,7363,932,191,5474,3215,2578,13,3186,96,147
"RPA3",844,332,1831,334,247,0,1147,483,1,2039,1205,173,56,801,1477,859,21,1501,48,54
"RPA4",146,251,59,509,44,0,32,122,0,133,4,56,97,9,157,5,0,51,112,0
"RPAIN",1469,833,1622,3407,1519,8,1503,1845,7,6248,2147,1559,346,2363,2349,2468,10,4127,424,57
"RPAP1",421,22,368,1912,726,4,760,1013,20,738,969,1432,505,1215,1007,726,6,2339,123,185
"RPAP2",3533,917,2292,2902,556,2,2511,4951,5,4206,2711,1746,369,4391,3055,2166,90,1463,1114,158
"RPAP3",798,152,927,695,409,0,1143,538,0,1150,1463,406,108,913,1208,747,299,690,254,67
"RPE",1534,4,763,996,29,6,1141,900,1,1321,1894,99,158,3088,2211,193,1,2284,94,214
"RPE65",85,0,0,1,61,0,0,0,0,26,0,0,68,14,0,0,0,10,0,0
"RPEL1",1,0,0,0,1,0,0,0,0,0,3,0,51,0,0,0,0,0,0,0
"RPF1",773,118,229,580,139,5,2006,867,0,1789,2106,836,223,1363,2336,884,1,1130,40,53
"RPF2",3093,790,1534,969,296,2,2116,546,1,2905,1575,677,210,1912,2146,1061,0,1687,322,21
"RPGR",848,487,416,421,240,3,1366,847,0,2372,1238,687,50,563,2014,601,0,974,512,28
"RPGRIP1",42,32,82,6,16,0,9,1,0,30,123,4,228,51,50,21,22,48,28,0
"RPGRIP1L",745,3,186,1154,95,0,685,181,0,914,387,362,329,1456,1687,143,4369,698,188,0
