"GENE_SYMBOL","GSM4673094--P2","GSM4673095--P2","GSM4673096--P2","GSM4673106--P7","GSM4673113--P23","GSM4673114--P23"
"ALKBH8",6,4,6,0,1,13
"ALLC",0,0,0,0,0,0
"ALMS1",5,10,3,1,0,5
"ALOX12",0,0,0,5,1,0
"ALOX12B",0,3,0,0,0,0
"ALOX15",1,0,3,0,0,1
"ALOX15B",1,2,0,0,0,0
"ALOX5",10,24,21,6,20,43
"ALOX5AP",14,10,8,11,0,5
"ALOXE3",0,0,0,0,0,0
"ALPI",0,0,0,0,0,0
"ALPK1",5,10,12,10,12,10
"ALPK2",2,2,0,2,0,0
"ALPK3",2,1,1,27,18,55
"ALPL",5,1,1,41,0,0
"ALPP",0,0,0,0,0,0
"ALS2",2,6,8,8,4,9
"ALS2CL",14,12,5,50,29,54
"ALX1",0,0,1,0,0,1
"ALX3",1,0,0,0,0,0
"ALX4",0,0,0,0,0,0
"ALYREF",56,59,67,24,13,24
"AMACR",83,69,40,69,6,24
"AMBN",0,1,0,0,0,0
"AMBP",4,3,1,3643,1,3
"AMBRA1",54,86,43,29,19,42
"AMD1",1026,1022,963,610,387,847
"AMDHD1",0,1,0,9,0,0
"AMDHD2",6,11,18,13,3,8
"AMELX",0,0,0,0,0,0
"AMELY",0,0,0,0,0,0
"AMER1",19,24,23,57,13,24
"AMER2",0,0,0,0,0,0
"AMER3",0,1,1,0,0,0
"AMFR",26,32,44,97,21,43
"AMH",6,34,1,5,2,5
"AMHR2",0,0,0,0,0,0
"AMIGO1",15,21,7,12,29,32
"AMIGO2",8,7,3,12,6,7
"AMIGO3",0,0,0,0,0,0
"AMMECR1",21,10,17,10,7,7
"AMMECR1L",33,56,34,26,22,28
"AMN",26,24,45,36,162,175
"AMN1",6,10,13,3,2,3
"AMOT",38,13,6,6,8,18
"AMOTL1",21,15,5,8,2,1
"AMOTL2",7,11,21,3,4,4
"AMPD1",0,0,0,0,1,0
"AMPD2",14,23,16,31,12,33
"AMPD3",5,6,4,11,12,15
"AMPH",0,0,0,0,1,2
"AMT",2,6,0,21,16,22
"AMTN",0,0,0,0,0,0
"AMY1A",0,0,0,0,0,0
"AMY1B",0,0,0,0,0,0
"AMY1C",0,0,0,0,0,0
"AMY2A",0,0,0,0,0,0
"AMY2B",2,0,0,4,1,1
"AMZ1",1,0,0,5,7,8
"AMZ2",22,23,41,13,21,12
"ANAPC1",10,4,6,2,2,8
"ANAPC10",3,8,2,1,11,4
"ANAPC11",105,145,102,36,28,40
"ANAPC13",39,36,41,10,26,17
"ANAPC15",15,17,18,11,5,17
"ANAPC16",289,253,248,103,156,128
"ANAPC2",18,23,13,11,21,19
"ANAPC4",7,5,26,7,7,0
"ANAPC5",117,82,81,75,46,76
"ANAPC7",49,85,61,19,17,35
"ANG",132,81,119,290,158,165
"ANGEL1",5,5,10,17,10,11
"ANGEL2",34,6,15,6,8,10
"ANGPT1",4,8,5,3,1,1
"ANGPT2",5,7,3,2,1,0
"ANGPT4",0,0,0,0,0,0
"ANGPTL1",0,1,0,2,0,0
"ANGPTL2",11,6,9,5,0,5
"ANGPTL3",0,0,0,115,0,0
"ANGPTL4",1,3,2,14,2,6
"ANGPTL5",0,0,0,0,0,0
"ANGPTL6",0,0,0,11,2,0
"ANGPTL7",0,0,0,0,0,0
"ANHX",0,0,0,0,0,0
"ANK1",0,3,1,0,0,1
"ANK2",2,0,2,0,4,3
"ANK3",17,14,23,25,22,30
"ANKAR",0,1,2,1,3,5
"ANKDD1A",0,2,1,1,4,0
"ANKDD1B",0,0,0,2,3,4
"ANKEF1",10,9,8,6,4,8
"ANKFN1",1,0,0,0,0,0
"ANKFY1",35,43,52,100,48,66
"ANKH",694,922,1016,1084,486,818
"ANKHD1",5,2,13,7,6,3
"ANKHD1-EIF4EBP3",0,2,0,1,0,13
"ANKIB1",102,49,68,32,33,44
"ANKK1",1,0,0,1,0,0
"ANKLE1",0,0,0,0,0,1
"ANKLE2",39,58,41,27,17,23
"ANKMY1",8,12,9,9,28,12
"ANKMY2",12,14,5,13,7,5
"ANKRA2",9,7,8,6,5,11
"ANKRD1",0,0,0,0,0,0
"ANKRD10",38,28,41,79,42,70
"ANKRD11",206,194,231,220,107,193
"ANKRD12",58,54,34,19,27,25
"ANKRD13A",11,12,23,15,6,11
"ANKRD13B",0,3,0,11,4,5
"ANKRD13C",13,10,6,4,13,4
"ANKRD13D",13,31,9,15,8,23
"ANKRD16",8,3,8,3,13,1
"ANKRD17",44,34,54,20,20,28
"ANKRD18A",6,9,7,4,3,8
"ANKRD18B",3,2,1,10,0,0
"ANKRD2",0,0,0,0,0,0
"ANKRD20A1",0,0,0,0,0,0
"ANKRD20A2",0,0,0,0,0,0
"ANKRD20A3",0,0,0,0,0,0
"ANKRD20A4",0,0,0,0,0,0
"ANKRD22",44,19,76,12,8,15
"ANKRD23",0,5,3,1,1,1
"ANKRD24",0,0,0,0,0,0
"ANKRD26",20,20,14,9,7,12
"ANKRD27",19,20,21,9,10,7
"ANKRD28",32,21,15,13,17,22
"ANKRD29",2,1,0,1,1,1
"ANKRD30A",0,0,0,0,0,0
"ANKRD30B",0,0,0,0,0,0
"ANKRD30BL",0,0,1,0,1,0
"ANKRD31",0,0,1,0,0,2
"ANKRD33",0,0,0,0,1,0
"ANKRD33B",0,2,1,1,3,2
"ANKRD34A",0,0,0,0,0,0
"ANKRD34B",6,2,2,0,0,0
"ANKRD34C",0,0,0,0,0,0
"ANKRD35",7,7,4,16,2,1
"ANKRD36",1,1,2,2,4,2
"ANKRD36B",1,0,3,0,0,2
"ANKRD36C",3,5,4,2,4,5
"ANKRD37",12,10,8,6,4,11
"ANKRD39",18,6,9,4,6,8
"ANKRD40",38,55,39,26,15,32
"ANKRD42",1,2,5,4,1,0
"ANKRD44",6,6,4,2,0,1
"ANKRD45",0,0,0,0,0,0
"ANKRD46",11,10,9,5,7,4
"ANKRD49",37,13,24,5,10,7
