"GENE_SYMBOL","GSM5133918--MGH200","GSM5133935--MGH253","GSM5133942--MGHPDL002"
"AJAP1",13,45,111
"AJUBA",370,623,702
"AK1",86,616,478
"AK2",13121,13736,14542
"AK3",2072,869,3657
"AK4",74,494,1198
"AK5",1841,30,59
"AK6",615,2258,1323
"AK7",12,34,24
"AK8",102,21,54
"AK9",652,209,367
"AKAP1",2134,9717,4110
"AKAP10",3994,2536,2331
"AKAP11",21132,1368,6356
"AKAP12",9815,4050,12524
"AKAP13",42786,6048,11779
"AKAP14",0,0,0
"AKAP17A",2263,24713,6794
"AKAP3",16,41,31
"AKAP4",0,0,0
"AKAP5",515,89,612
"AKAP6",9886,232,19841
"AKAP7",697,699,884
"AKAP8",1661,20006,3404
"AKAP8L",2935,9149,3834
"AKAP9",56231,16055,13958
"AKIP1",378,1455,1516
"AKIRIN1",2696,5351,5399
"AKIRIN2",1128,1171,4016
"AKNA",6335,2774,6247
"AKNAD1",67,56,8
"AKR1A1",8016,5788,8062
"AKR1B1",7937,10385,8193
"AKR1B10",0,8,21
"AKR1B15",1,6,3
"AKR1C1",1259,1173,119
"AKR1C2",443,35,177
"AKR1C3",964,49,100
"AKR1C4",0,0,1
"AKR1D1",0,0,1
"AKR1E2",767,384,109
"AKR7A2",2977,4529,2982
"AKR7A3",251,914,31
"AKT1",8865,15872,13954
"AKT1S1",517,9505,4528
"AKT2",6233,11737,12007
"AKT3",5098,1672,15829
"AKTIP",1133,444,1587
"ALAD",1177,2573,6193
"ALAS1",3306,1380,5190
"ALAS2",19,4,2
"ALB",9,34,1
"ALCAM",3874,5683,2463
"ALDH16A1",1101,10314,3145
"ALDH18A1",5490,2824,7562
"ALDH1A1",8723,145,12454
"ALDH1A2",310,420,57
"ALDH1A3",720,560,1625
"ALDH1B1",1059,345,6674
"ALDH1L1",8,18,225
"ALDH1L2",8955,671,1521
"ALDH2",2851,3149,4009
"ALDH3A1",8,1,50
"ALDH3A2",3980,2414,4316
"ALDH3B1",660,1212,1891
"ALDH3B2",0,199,86
"ALDH4A1",12,4104,929
"ALDH5A1",434,5740,1722
"ALDH6A1",1649,414,2788
"ALDH7A1",3494,6035,4008
"ALDH8A1",9,713,78
"ALDH9A1",3130,3956,11014
"ALDOA",23187,64731,73751
"ALDOB",31,18,2
"ALDOC",318,1608,1183
"ALG1",2101,1073,2231
"ALG10",1310,91,355
"ALG10B",1345,851,1282
"ALG11",1151,302,1228
"ALG12",1067,1282,1602
"ALG13",7173,7431,4159
"ALG14",868,427,675
"ALG1L",6,1,47
"ALG1L2",59,110,19
"ALG2",3446,3538,4270
"ALG3",1384,3842,4593
"ALG5",2484,1358,4593
"ALG6",2409,4889,1307
"ALG8",2876,7937,3213
"ALG9",132,1722,448
"ALK",767,231,250
"ALKBH1",362,1221,1020
"ALKBH2",175,4557,1148
"ALKBH3",1450,2350,1623
"ALKBH4",50,1804,916
"ALKBH5",3199,3736,5502
"ALKBH6",30,532,344
"ALKBH7",503,3509,3891
"ALKBH8",632,642,683
"ALLC",0,168,0
"ALMS1",18997,1124,1891
"ALOX12",461,76,197
"ALOX12B",0,0,10
"ALOX15",0,0,7
"ALOX15B",283,49,232
"ALOX5",4415,116,4297
"ALOX5AP",1137,34,1852
"ALOXE3",4,0,1
"ALPI",0,0,1
"ALPK1",3875,671,3008
"ALPK2",435,29,648
"ALPK3",519,329,284
"ALPL",1489,267,1249
"ALPP",0,14,0
"ALS2",3257,9295,2452
"ALS2CL",437,3715,549
"ALX1",366,1436,887
"ALX3",0,0,0
"ALX4",5,28,0
"ALYREF",611,2495,3056
"AMACR",232,159,1251
"AMBN",0,0,0
"AMBP",12,17,5
"AMBRA1",5003,4880,2744
"AMD1",4682,2778,13884
"AMDHD1",30,6,79
"AMDHD2",1018,3756,3674
"AMELX",26,0,0
"AMELY",0,0,0
"AMER1",528,382,1155
"AMER2",0,29,3
"AMER3",0,0,0
"AMFR",9022,2232,7746
"AMH",32,298,43
"AMHR2",13,165,3
"AMIGO1",19,352,1205
"AMIGO2",352,1274,769
"AMIGO3",0,5,3
"AMMECR1",364,501,1196
"AMMECR1L",1096,11745,3782
"AMN",67,205,68
"AMN1",388,200,527
"AMOT",2085,811,4149
"AMOTL1",8320,2902,9891
"AMOTL2",1214,2871,4644
"AMPD1",0,14,98
"AMPD2",3579,16467,4586
"AMPD3",2321,522,2026
"AMPH",2707,48,143
"AMT",3414,7978,1248
"AMTN",0,0,0
"AMY1A",0,0,0
"AMY1B",0,16,2
"AMY1C",0,1,0
"AMY2A",0,102,8
"AMY2B",7070,8174,1756
"AMZ1",31,27,36
"AMZ2",4888,14568,5162
"ANAPC1",6365,2245,1953
"ANAPC10",637,577,1008
"ANAPC11",652,7034,4254
"ANAPC13",797,2538,4013
"ANAPC15",218,397,590
"ANAPC16",1934,4003,6423
"ANAPC2",1464,6408,5407
"ANAPC4",5127,3831,3425
"ANAPC5",12171,16370,15453
"ANAPC7",1410,19803,4093
"ANG",481,29,274
"ANGEL1",1135,6160,3883
"ANGEL2",2002,5827,3757
"ANGPT1",394,1131,200
"ANGPT2",994,1208,329
"ANGPT4",6,1,4
"ANGPTL1",1897,13,93
"ANGPTL2",10537,1716,3561
"ANGPTL3",944,2,0
"ANGPTL4",170,1746,322
"ANGPTL5",15,0,0
"ANGPTL6",78,126,202
"ANGPTL7",235,753,164
"ANHX",1,0,0
"ANK1",177,374,150
"ANK2",25479,19522,9202
"ANK3",2242,366,144
"ANKAR",1931,154,197
"ANKDD1A",667,5507,1031
"ANKDD1B",55,167,41
"ANKEF1",139,151,238
"ANKFN1",83,4,49
"ANKFY1",6495,6227,7714
"ANKH",5170,647,6895
"ANKHD1",230,75,343
"ANKHD1-EIF4EBP3",124,260,196
"ANKIB1",9767,5909,4982
"ANKK1",14,2,22
"ANKLE1",31,1037,94
"ANKLE2",5514,11558,6219
"ANKMY1",977,8587,1081
"ANKMY2",1276,4031,2654
"ANKRA2",947,1176,1165
"ANKRD1",48,549,1
"ANKRD10",7729,30610,14827
"ANKRD11",15968,4870,9363
"ANKRD12",17378,8326,4811
"ANKRD13A",6041,5306,6912
"ANKRD13B",574,5933,661
"ANKRD13C",3428,2942,2216
"ANKRD13D",1432,10843,3926
"ANKRD16",410,639,495
"ANKRD17",49549,17008,13196
"ANKRD18A",4,0,24
"ANKRD18B",1,4,92
"ANKRD2",16,92,23
"ANKRD20A1",87,6,15
"ANKRD22",35,3,937
"ANKRD23",13,826,62
"ANKRD24",180,192,105
"ANKRD26",3875,718,976
"ANKRD27",3402,8950,4219
"ANKRD28",18593,9368,9651
"ANKRD29",215,85,398
"ANKRD30A",0,8,0
"ANKRD30B",6,38,37
"ANKRD30BL",0,20,2
"ANKRD31",40,26,34
"ANKRD33",0,1,1
"ANKRD33B",219,30,625
"ANKRD34A",41,294,188
"ANKRD34B",3,10,449
"ANKRD34C",0,0,0
"ANKRD35",236,31,87
"ANKRD36",8519,100,369
"ANKRD36B",2771,52,132
"ANKRD36C",14722,29,166
"ANKRD37",107,689,494
"ANKRD39",409,492,786
"ANKRD40",1893,4924,4431
"ANKRD42",897,843,1024
"ANKRD44",10117,6033,4673
"ANKRD45",138,64,108
"ANKRD46",252,1507,1202
"ANKRD49",441,1978,1583
"ANKRD50",9417,3161,6321
"ANKRD52",3945,6131,6918
"ANKRD53",169,865,42
"ANKRD54",262,10605,4191
"ANKRD55",61,2,31
"ANKRD6",1974,688,1440
"ANKRD60",0,0,0
"ANKRD61",218,108,48
"ANKRD62",1,7,1
"ANKRD63",0,0,0
"ANKRD65",64,1157,319
"ANKRD66",2,0,1
"ANKRD7",40,71,104
"ANKRD9",28,2590,2364
"ANKS1A",4863,8103,6083
"ANKS1B",357,2,186
"ANKS3",761,4621,1669
"ANKS4B",36,3,1
"ANKS6",975,6447,2460
"ANKUB1",57,9,9
"ANKZF1",2272,16014,4741
"ANLN",68,2771,2922
"ANO1",2721,2088,905
"ANO10",3624,608,3121
"ANO2",345,63,23
"ANO3",51,32,8
"ANO4",1172,456,15
"ANO5",1000,267,340
"ANO6",19437,1523,6677
"ANO7",75,357,128
"ANO8",978,980,1592
"ANO9",274,65,1998
"ANOS1",2557,24,763
"ANP32A",4819,10962,11141
"ANP32B",6666,7944,11814
"ANP32D",0,0,5
"ANP32E",1001,4325,7444
"ANPEP",2181,419,1339
"ANTXR1",45609,1106,10252
"ANTXR2",3506,247,2254
"ANTXRL",0,15,7
"ANXA1",22180,514,45296
"ANXA10",42,2,4
"ANXA11",7540,2847,10033
"ANXA13",4,7,121
"ANXA2",59222,17608,46845
"ANXA2R",70,119,300
"ANXA3",71,25,972
"ANXA4",5629,2237,6948
"ANXA5",45351,48375,133663
"ANXA6",17344,2713,10894
"ANXA7",7622,1297,6609
"ANXA8",0,2,10
"ANXA8L1",0,9,6
"ANXA9",180,153,278
"AOAH",5301,13,1832
"AOC1",13,10,121
"AOC2",101,64,53
"AOC3",783,552,911
"AOX1",955,47,322
"AP1AR",592,1432,4387
"AP1B1",9225,4474,12804
"AP1G1",7041,6908,9642
"AP1G2",1150,3323,3203
"AP1M1",2446,5074,6533
"AP1M2",71,16,2
"AP1S1",1143,3746,8994
"AP1S2",7060,22484,29300
"AP1S3",231,54,383
"AP2A1",10608,7414,7240
"AP2A2",11667,10870,5550
"AP2B1",16461,4941,17041
"AP2M1",19359,11719,23207
"AP2S1",1881,6117,6781
"AP3B1",13042,1669,5770
"AP3B2",4,35,19
"AP3D1",10643,19789,17711
"AP3M1",3057,2797,4784
"AP3M2",1492,4736,9340
"AP3S1",6846,2615,4593
"AP3S2",498,1440,1963
"AP4B1",1661,3890,1807
"AP4E1",2611,646,1441
"AP4M1",1878,2943,1962
"AP4S1",318,205,570
"AP5B1",583,1970,3355
"AP5M1",3851,990,3489
"AP5S1",254,1975,1885
"AP5Z1",2000,13720,6348
"APAF1",4973,405,2345
"APBA1",433,227,331
"APBA2",507,6205,504
"APBA3",576,2081,1829
"APBB1",779,2402,1380
"APBB1IP",5798,25,3082
"APBB2",9924,2995,2994
"APBB3",1361,14903,3523
"APC",18182,1011,4008
"APC2",215,112,211
"APCDD1",1908,1734,288
"APCDD1L",43,34,18
"APCS",0,0,0
"APEH",4138,4548,11087
"APELA",0,0,68
"APEX1",9273,19755,12489
"APEX2",613,3564,2881
"APH1A",5656,10718,18766
"APH1B",893,2341,2265
"API5",6949,4907,7385
"APIP",512,2445,1093
"APLF",1446,969,428
"APLN",173,501,105
"APLNR",376,51,1475
"APLP1",186,83,237
"APLP2",22629,5053,18815
"APMAP",3148,25833,11112
"APOA1",9,19,3
"APOA2",161,0,1
"APOA4",0,0,0
