"GENE_SYMBOL","D06","D01","N10","N09","D08","N04","D07","N03","N06","D03","N05","N08","D05","D09","N07","D04","D02","N11","N12","N01","N02"
"CD22",709.691190995769,3934.36108994385,35.522191195302,47.1426901154272,858.668638282632,253.649723468121,959.537354230906,491.441769247498,195.32213250498,19.1801337381067,947.324673942334,61.890979002313,29.9730936402361,6402.36513579863,1155.87555526749,332.809954471495,1879.82456748521,47.0511047122487,65.3546261393528,161.63392354936,367.926529139458
"CD226",25.3207062462772,33.3715846794336,1.04081010014244,0.603909159099903,22.9687643139849,2.5331271001536,39.8973319984832,10.771706937324,9.28393535984178,3.57625712815647,24.6270891474855,1.73731788342899,3.24143016537373,10.6922723801959,42.888240121229,29.6169294860545,15.3078900226114,1.3203328538954,4.38942058376466,10.3563980747533,2.45574343730666
"CD244",259.715584802106,64.6369463503181,13.7136036818421,1.00426730098578,60.1711963795045,4.66659675187365,42.0495448623101,91.9087572171312,72.3594652550562,56.3852718427443,91.5185500935237,6.17682873105989,7.34936057938446,154.522872751749,179.794521145186,204.606833161017,78.9492991002335,9.77258376145331,15.8366274796986,52.7321591005362,15.0717019273506
"CD247",7.41599845823493,13.4091073115521,0.151206403755154,0.307898361169018,2.72012841334496,1.34085591577465,4.79550169115011,5.84342842241206,3.66796062379806,6.13069103989633,6.15020700379385,0.299013824881121,1.33385052047521,5.02519597772289,15.7474566864045,23.5786684784227,8.02633707351344,0.432698505360976,1.24438843789431,6.83692778376207,3.61407363378831
"CD27",99.5585195426775,139.416061576644,2.24358046421808,7.61917049529536,24.5714392882656,14.5106968991494,8.27249360082322,26.7337370474374,47.9066758017756,67.1609382916379,94.509869896121,9.18354839644517,11.8886657355891,208.880128312687,90.8491659097706,16.5139379960704,84.7558679893582,0.291231134916353,5.47792941417545,109.141282830034,63.7736739395765
"CD274",45.6251347254408,113.013469066108,2.88477639185163,3.98351335008123,41.0532768736524,81.1560225430349,31.6373666448307,43.4165402140913,56.8042644329178,631.088986751047,38.5416544188009,227.48075992987,47.6765159097949,0,74.1223516801408,72.0916740964549,116.954316035739,13.7302908984934,20.4441358035217,39.1013091204457,136.717347471451
"CD276",746.45088351085,1235.68657938225,409.94950761875,1364.55926790518,1956.56206111905,2361.66221549817,438.592925815764,1790.66905944338,839.057601706913,2278.17834668624,1401.28481684006,677.983392531345,4142.5826836227,911.452631466891,1362.91170104997,1619.04743458501,2633.08248784569,1240.66524494706,894.771862233524,2061.17596473687,12871.361672627
"CD28",111.060242704306,410.07797253799,2.59037230312615,10.8263537117393,92.1907945943907,10.0974118306905,202.404318232406,114.827371107876,58.9472758531029,74.5818167978035,203.760382499062,12.5632848973516,26.6143237117268,275.951552288847,165.403419594778,23.4139970678274,149.225124054292,8.0353129039666,19.3173909422851,32.3105971973181,45.8451362007085
"CD33",1093.09407558358,1910.20670322361,99.9619966717539,22.6167191850583,665.909937251508,343.654112853946,1500.66050401673,1402.80132244475,672.994537692129,1261.68953397837,860.089830921659,228.143276628108,207.543355801068,606.69581444846,1440.20490214136,2152.6133518356,778.638034980103,85.5217140538147,220.741575422283,524.247986947424,537.40641607809
"CD37",2210.15140987027,3968.35241079118,100.792701687201,83.330615469939,1450.22582020825,251.249497147147,2447.73660895154,1747.02496994159,1092.9344152805,549.726787925519,1807.68062992234,189.641860242674,329.613657404724,5929.03338944361,1428.53028724817,1555.42367141417,2777.03814065021,114.396229863572,471.299087743585,683.573610181407,1065.54158162934
