"GENE_SYMBOL","GSM5430032--HN001","GSM5430035--HN002","GSM5430037--HN003","GSM5430039--HN004","GSM5430041--HN005","GSM5430043--HN007","GSM5430045--HN008","GSM5430047--HN009","GSM5430049--HN010","GSM5430051--HN012","GSM5430053--HN014"
"EXTL2",972,569,676,640,158,252,527,147,527,422,255
"EXTL3",10644,5408,4690,7800,2434,9050,5786,4666,8714,3510,5353
"EYA1",246,15,29,41,186,14,41,4,4,69,66
"EYA2",314,28,172,245,3830,167,129,1267,43,3708,25
"EYA3",3269,1590,2571,3182,2233,2829,3088,1895,5165,2595,1341
"EYA4",344,248,10,8,20,22,65,429,0,616,153
"EYS",7,10,4,26,6,16,242,2,5,2,41
"EZH1",2782,1220,2301,1013,2011,898,1345,1694,1138,3134,1389
"EZH2",1109,914,2400,1815,2031,1216,1022,1393,1189,2263,1167
"EZR",26890,21705,26156,40705,47594,60039,55529,52852,44315,39556,89474
"F10",127,2,22,28,48,3,8,4,12,42,0
"F11",1,1,0,0,4,5,0,0,0,1,0
"F11R",14724,4456,11855,17246,9687,11172,23565,11389,24702,7915,13674
"F12",291,765,1548,1555,2611,2196,628,1011,2805,1289,1698
"F13A1",10648,1410,577,118,863,285,908,368,131,467,118
"F13B",0,0,0,0,0,5,10,0,0,0,0
"F2",8,0,0,0,0,2,6,10,20,0,0
"F2R",6775,4089,4008,2444,1011,1157,2352,822,655,492,1124
"F2RL1",2444,7348,7301,3676,1059,3209,4396,2390,4089,662,1470
"F2RL2",3321,1057,1071,2112,778,354,341,121,115,124,18
"F2RL3",523,1214,143,607,66,231,107,106,85,43,54
"F3",16691,12427,27120,12647,5855,11416,22186,8483,2328,5951,7202
"F5",273,165,44,40,19,111,156,87,67,1462,8
"F7",46,0,13,16,0,0,0,1,2,27,0
"F8",588,102,281,139,168,126,93,105,195,605,81
"F8A1",2314,291,351,950,1008,1077,1658,1449,571,1057,831
"F8A2",1,0,0,3,1,0,2,1,2,4,0
"F8A3",21,8,10,18,39,17,24,20,16,19,12
