"GENE_SYMBOL","GSM3461245","GSM3461246","GSM3461247","GSM3461248","GSM3461249","GSM3461250","GSM3461251","GSM3461252","GSM3461253","GSM3461254"
"ADSL",2445.379704,1729.57024,3085.477792,2399.812683,2966.771623,3397.664222,1730.271411,2961.821101,2152.457376,2048.652103
"POSTN",42.619873105,255.44529455,85.9174771,17.72883925,375.0545208,235.1694042,218.60857,153.287089835,84.81574623,255.555178585
"PNMA2",17.72883925,32.96009335,57.0509941,17.72883925,56.81282171,27.93862165,17.72883925,17.72883925,27.32327178,35.85366976
"DHRS13",68.99224706,48.51099437,121.2851198,195.7198885,111.4050037,17.72883925,79.66267892,84.58346009,45.84968624,125.3307363
"VPS28",788.63877155,751.0519856,698.82868235,1428.24552155,1128.61558405,887.36497885,914.14478675,1021.5848317,1143.8485279,1035.04830115
"XPC",268.3040476,506.4430436,248.2768808,417.3399358,415.6912761,352.9650756,499.8085833,414.8062041,748.9916668,582.7691229
"HCN4",34.47819258,33.49006073,36.85350172,30.27258451,39.18210697,17.72883925,17.72883925,30.56895697,31.97791938,41.782016
"PLAC9",72.63340475,598.9819989,25.24098036,50.30717075,60.23717922,106.8762527,216.9307242,114.4152984,42.59274772,65.35408672
"CKAP4",1683.708344,1211.208323,1751.834443,597.6790113,1227.740831,1365.434524,929.0309313,2336.398072,1844.065123,1345.723849
"NFE2L2",366.9469833,576.7829937,455.1528313,114.3949849,505.7067324,907.8993792,419.2578043,469.811557,417.5854499,227.78373
"ZNF236",17.72883925,17.72883925,31.08727062,17.72883925,17.72883925,17.72883925,17.72883925,23.5422016,17.72883925,17.72883925
"TBCB",1726.774446,1625.239989,2645.277999,1950.187345,1487.541826,2758.567106,2173.536315,1596.614002,1842.955882,1374.939162
"RINL",85.19831985,179.5247466,47.22826369,272.2978018,56.41844618,65.70180084,92.66093603,84.41515723,70.20285891,141.0347472
"CDS2",285.0064774,280.5826605,286.0356788,172.3488725,255.549516,194.0303615,100.3165244,86.55610462,452.2049199,139.7375888
"ATG7",434.3953486,779.255278,350.3432522,697.0323052,498.910964,829.0498219,648.7722244,405.8295592,481.734941,1012.39774
"HUWE1",158.2933657,98.72399038,110.4309439,153.4477158,109.7445347,121.0177598,76.82905274,108.4427461,104.0444773,93.43822114
"AHI1",207.6479838,136.4083193,116.6928867,187.244659,179.7075383,131.5669351,199.2193087,140.3066918,119.4603415,235.933603
"RTF1",62.0565362,38.19525677,38.6494551,44.11312271,55.91440659,31.91553335,51.72596466,36.24533103,30.85727673,37.32042566
"FKBPL",61.43451658,44.44306332,17.72883925,99.26663049,38.19032412,78.77553695,90.45967229,62.94530798,141.4127219,57.65309184
"TESK1",235.3172603,295.8862622,118.1693678,175.515029,482.5956313,157.807835,230.5464873,145.1876686,231.2313477,330.089781
"ZNF513",87.12023558,130.6848104,74.30336305,75.70796623,144.9175073,104.2924344,112.3374259,260.0959832,149.9265834,142.4662836
"PPHLN1",382.7061693,293.06581585,321.17349955,198.9529695,259.43732215,170.3223745,362.4535711,332.5337375,399.259769,348.7983144
"RSBN1",363.0742804,277.7910617,213.1518435,233.4700323,323.705341,244.5387235,109.9310309,166.0860715,137.0281476,156.2971919
"HEATR6",204.4307385,173.2225378,132.4889739,554.4746142,210.3629397,208.9176758,187.9315001,263.7969096,111.932899,150.7450592
"NDUFA10",498.6628272,683.5904611,355.51778725,453.8702656,832.5979453,390.9003987,662.57259675,317.48990715,484.19364435,566.15729665
"YPEL3",307.4471813,381.200778,202.8432856,637.2559727,235.0542672,464.7532667,465.2072003,123.1118822,263.2750686,412.0577262
"ARHGAP18",40.68242949,39.04098872,28.73402056,17.72883925,17.72883925,42.03894738,33.10703843,38.98085013,17.72883925,28.80263967
"DOK2",69.86013271,301.214751,17.72883925,62.93559661,26.77533923,32.81413719,17.72883925,25.5843897,107.7533161,226.7145704
"GLYCTK",52.18965787,53.83762759,45.92248801,92.99266306,46.54326193,53.93368942,45.05177591,56.52915366,66.30487754,300.0947215
"NXN",150.5046647,190.0367505,364.7735333,241.3704128,89.19762273,113.6985576,202.8730134,338.5280848,88.52196917,180.3724546
"SPRED2",186.5015327,80.10813715,130.5410666,53.86098101,260.0200008,183.0326312,338.5302653,369.7853711,52.2662234,205.8467523
"FBXL13",78.26545024,17.72883925,35.99236251,17.72883925,17.72883925,87.66703802,17.72883925,17.72883925,17.72883925,17.72883925
"HSPB8",17.72883925,50.52007352,92.82242134,17.72883925,33.85563438,17.72883925,429.9623489,17.72883925,48.50909654,39.13967876
"DPY19L1",342.7972714,510.9885373,1308.386217,178.0458411,674.2732003,827.1909361,216.2555558,808.712754,453.9972526,558.6118847
"STK39",376.9168751,345.6284521,752.2474783,88.28860991,884.1823686,492.7811342,405.4531589,482.7258469,244.1258601,200.1183508
"ATP5O",2518.883126,2152.531005,1747.467022,2477.599226,4065.627211,2685.225614,2317.406189,2622.862473,2290.070249,2330.264691
"RCOR2",35.52907462,24.47092702,100.62623,27.30534363,45.26660829,37.34537231,74.92974471,428.1517504,17.72883925,36.79917932
"ZNF787",427.198966,451.3997386,405.1706105,499.9440889,353.7527952,439.5372615,599.7316523,413.7383546,627.2801927,404.4201625
"ITGA7",70.39930698,33.27291802,44.52119559,28.91192109,61.06813074,38.79566173,32.59253241,34.21381677,34.02730689,76.15908078
"EZH1",27.47606898,26.1223995,17.72883925,59.07569975,30.32630549,34.21425992,35.52419154,28.51586633,26.2973778,24.937577
