"GENE_SYMBOL","GSM5673325--patient 7","GSM5673326--patient 8","GSM5673327--patient 9","GSM5673328--patient 2","GSM5673329--patient 3","GSM5673330--patient 4","GSM5673331--patient 5","GSM5673332--patient 6","GSM5673333--patient 10","GSM5673334--patient 11","GSM5673335--patient 12","GSM5673336--patient 13","GSM5673337--patient 14","GSM5673338--patient 15","GSM5673339--patient 16","GSM5673340--patient 17","GSM5673341--patient 1"
"CHCHD1",520,499,562,417,547,803,408,472,871,343,989,940,2158,1872,756,468,582
"CHCHD10",1553,1761,1539,2305,1459,1723,625,1953,2812,5690,1318,972,4725,13255,881,6139,5174
"CHCHD2",3895,3917,2149,1638,1700,3946,3297,2365,3320,1430,4779,3684,18422,10499,4046,1669,2158
"CHCHD3",933,965,745,589,385,1039,1624,1456,1763,184,2685,1176,4066,4382,914,234,257
"CHCHD4",255,280,151,141,48,477,288,356,314,97,160,179,331,438,137,108,138
"CHCHD5",534,571,471,343,343,683,507,314,1229,431,581,708,1651,1138,624,388,529
"CHCHD6",333,341,185,219,239,221,412,184,490,95,540,380,888,1634,235,98,155
"CHCHD7",769,819,682,859,763,683,1275,1033,767,232,464,282,2863,1255,1558,357,368
"CHD1",946,1048,1383,787,484,337,442,782,1141,302,609,1249,297,868,837,435,517
"CHD1L",340,351,895,763,240,371,1219,624,1519,459,1332,2433,563,1287,993,649,657
"CHD2",1677,1762,3248,2799,1754,879,1467,2771,2651,1326,1813,3429,1116,1752,3773,1626,2212
"CHD3",4188,4511,10236,4817,2593,2099,3215,5627,12053,331,3355,11658,5887,4171,5529,719,355
"CHD4",4015,4373,5793,4786,8238,3005,3419,6850,9823,1269,7457,12348,5810,11462,8374,1695,1619
"CHD5",3,2,2,13,5,159,50,12,23,1,57,12,9,29,23,24,0
"CHD6",1753,1837,1852,1447,1438,480,1323,1435,2106,525,1607,3928,666,919,1452,631,784
"CHD7",1096,1162,2037,1526,1782,618,4766,1126,2055,553,3058,495,1544,1004,2733,493,507
"CHD8",1461,1428,1701,1168,732,723,1587,1893,3024,367,2548,5328,1093,2750,3175,577,529
"CHD9",668,674,1348,665,727,304,581,820,739,403,862,1075,298,509,1166,461,581
"CHDH",477,511,152,129,30,52,208,34,221,1456,479,794,383,68,493,1971,3101
"CHEK1",247,282,189,287,184,337,835,197,409,37,374,607,1164,1055,317,63,97
"CHEK2",146,144,356,313,251,157,274,180,574,76,367,358,330,488,371,188,231
