"GENE_SYMBOL","GSM5673325--patient 7","GSM5673326--patient 8","GSM5673327--patient 9","GSM5673328--patient 2","GSM5673329--patient 3","GSM5673330--patient 4","GSM5673331--patient 5","GSM5673332--patient 6","GSM5673333--patient 10","GSM5673334--patient 11","GSM5673335--patient 12","GSM5673336--patient 13","GSM5673337--patient 14","GSM5673338--patient 15","GSM5673339--patient 16","GSM5673340--patient 17","GSM5673341--patient 1"
"SNX20",20,21,1268,710,77,42,17,377,598,34,314,18,25,43,156,66,11
"SNX21",484,537,335,560,146,187,274,219,435,144,443,708,197,667,1443,184,231
"SNX22",124,123,816,515,35,13,52,112,573,149,73,174,106,193,114,161,124
"SNX24",338,367,186,201,357,318,247,271,298,141,320,344,295,672,370,129,224
"SNX25",302,351,444,168,139,91,133,291,269,83,330,388,119,209,346,107,128
"SNX27",1225,1390,640,585,498,310,639,640,1290,230,957,2413,276,1256,1009,424,397
"SNX29",661,667,1028,673,375,174,290,347,866,101,426,418,178,531,1195,109,115
"SNX3",3838,3921,3194,1278,1885,1987,1757,1749,2973,813,7173,2693,6052,7690,1354,1360,1731
"SNX30",449,413,452,345,124,413,547,719,388,118,450,215,180,847,711,190,221
"SNX31",1,4,104,7,12,21,6,0,28,2,2,0,26,0,18,1,0
"SNX32",9,11,40,24,12,7,114,57,40,15,271,30,25,15,61,27,23
"SNX33",826,889,761,503,259,230,700,772,884,405,420,1077,467,930,881,667,633
"SNX4",1193,1136,695,503,553,730,1022,545,1431,307,1382,474,564,1272,751,529,761
"SNX5",6391,6488,2274,1378,1601,2451,1708,1901,2679,457,1467,4105,4282,2790,3087,776,899
"SNX6",1104,1078,1365,834,628,1609,1249,2018,1781,147,907,1867,2077,2536,1857,336,298
"SNX7",305,278,227,180,257,198,263,548,578,79,716,190,734,1337,140,107,162
"SNX8",417,483,865,993,619,595,547,891,1663,211,1680,865,491,5353,1089,261,259
"SNX9",3018,3229,1366,674,811,559,1461,584,1172,584,1929,1843,1251,2464,1325,1005,1145
"SOAT1",1594,1706,942,553,124,249,998,320,730,225,1058,807,270,3701,1308,340,349
"SOAT2",1,1,9,6,1,0,0,7,1,63,5,4,5,2,1,22,47
"SOBP",204,208,137,115,14,69,200,63,114,97,784,4932,102,649,147,145,126
"SOCS1",354,381,1095,891,163,60,166,307,694,193,542,584,173,267,751,129,23
"SOCS2",268,276,445,133,16,60,8,117,219,526,84,51,52,100,160,286,167
"SOCS3",971,1081,3941,2694,423,1382,381,798,5263,948,1779,1854,834,2793,1642,423,115
"SOCS4",691,620,654,382,257,256,279,583,511,47,434,1142,307,639,647,140,108
"SOCS5",350,352,415,179,158,443,589,551,535,71,336,481,383,483,1166,135,145
"SOCS6",522,542,214,177,152,261,256,255,363,207,616,512,369,790,369,391,455
"SOCS7",592,616,513,491,246,239,549,436,733,188,793,1999,267,1001,660,260,289
"SOD1",3779,3862,2513,1726,1533,5858,4099,3843,2473,10085,7749,6280,9464,9830,3506,14049,22370
"SOD2",9364,9573,4410,8992,2345,2032,2940,8515,7877,4615,24638,6080,4594,27503,7883,12673,5889
"SOD3",2652,3228,1346,890,606,170,3268,111,980,231,339,2713,2155,700,1016,446,133
"SOGA1",2531,2768,1369,1324,2001,417,1446,2583,2721,61,1959,4641,289,562,1664,113,36
"SOGA3",0,1,7,1,5,4,3,0,2,0,7,9,2,2,2,1,0
"SOHLH1",1,1,0,1,0,4,0,1,0,1,0,2,2,6,3,0,1
"SOHLH2",2,2,0,0,2,2,6,3,1,0,1,1,18,391,5,2,0
"SON",5452,5746,7549,4565,3294,3214,5431,6726,6397,2731,5811,9396,2445,7038,5759,3014,3231
"SORBS1",153,169,164,625,209,318,321,1301,176,716,575,401,132,44,56,973,1089
"SORBS2",66,75,255,79,89,164,55,179,109,2226,75,828,124,93,32,2207,2988
"SORBS3",1416,1619,1523,957,370,529,377,284,727,1410,1706,264,499,1012,808,1701,2241
"SORCS1",3,4,135,52,18,106,621,192,48,3,180,1,12,5,0,10,2
"SORCS2",91,107,145,88,8,25,165,13,446,323,63,144,12,45,78,305,187
"SORCS3",1,0,4,5,0,2,54,3,1,0,3,0,0,0,2,0,1
"SORD",178,191,172,111,6,391,200,36,742,1250,494,770,526,714,734,2538,5078
"SORL1",935,970,4413,2318,4347,1423,14088,4288,2963,2462,707,699,1005,939,4890,3290,5980
"SORT1",1431,1444,1944,1725,1055,1189,903,3276,5973,288,4843,2639,1654,3140,1557,432,42
"SOS1",1013,970,1687,1362,479,1307,1513,1667,2025,297,915,1396,1865,686,4223,500,483
"SOS2",983,975,835,473,385,661,904,1144,843,145,998,1283,545,773,1527,274,259
"SOST",1,0,1,62,0,11,109,0,1,0,2,0,3,0,6,5,1
"SOSTDC1",50,55,16,0,27,3,16,2,12,2,64,55,17,84,9,2,2
"SOWAHA",8,11,21,53,17,81,27,14,9,20,53,19,22,44,266,30,63
"SOWAHB",58,58,107,34,24,102,29,89,48,121,40,170,60,20,266,180,333
"SOWAHC",192,233,313,288,109,294,374,320,381,457,710,395,251,477,684,667,821
"SOWAHD",32,36,162,113,8,16,6,70,102,8,91,29,54,43,82,21,2
"SOX1",2,4,1,3,5,1,2,4,2,13,6,4,3,5,1,7,4
"SOX10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SOX11",28,24,3,39,6,99,1584,6,4,4,265,3218,36,1209,1,113,3
"SOX12",1237,1402,1602,934,1410,995,1910,1589,3920,310,3741,6949,3473,7673,3956,372,391
"SOX13",924,1050,1071,1075,300,683,317,756,1761,682,1544,1339,569,312,2242,736,759
"SOX14",0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"SOX15",10,21,80,21,5,8,81,360,429,9,8,233,18,21,242,16,13
"SOX17",4042,4795,3352,2434,1364,3700,1821,3524,9626,85,4989,32,4756,48,11170,266,28
"SOX18",836,882,1755,3428,95,1527,129,1343,3739,418,676,149,808,290,3736,330,250
"SOX2",1,7,3,4,1234,48,71,3,2,1,55,3,39,958,66,5,3
"SOX21",0,2,0,2,11,0,1,2,9,0,9,1,2,57,51,2,1
"SOX3",0,2,8,2,4,0,60,1,1,0,26,2,0,1,0,3,0
"SOX30",2,3,19,3,0,11,34,9,26,0,7,6,22,12,97,1,0
"SOX4",9899,11353,2636,2931,2641,2179,2039,663,12030,219,3179,38402,4853,10166,4576,484,105
"SOX5",26,28,84,27,378,90,79,194,176,114,93,762,28,91,223,249,475
"SOX6",508,521,178,73,897,120,86,118,57,207,218,84,48,542,1260,226,561
"SOX7",33,49,44,53,3,9,7,13,22,42,82,24,12,44,28,44,19
"SOX8",16,12,372,206,1,56,2,8,184,7,17,44,4,12,28,15,4
"SOX9",1952,2137,317,204,194,320,290,1549,508,79,1664,7378,751,560,1063,183,84
"SP1",2053,2115,2208,2026,1251,1187,1078,2637,2308,536,3169,2508,1048,1342,1887,735,789
"SP100",446,504,2596,1919,1109,658,319,3300,1732,581,1017,153,1037,1776,471,832,962
"SP110",46,43,549,565,109,55,56,373,288,67,148,27,126,101,64,100,101
"SP140",11,14,1267,785,64,19,15,255,574,16,130,7,15,186,131,40,14
"SP140L",115,115,844,893,298,126,34,1078,653,277,400,55,342,797,337,295,316
"SP2",303,351,713,692,245,227,285,734,884,164,714,1092,371,662,630,212,202
"SP3",1159,1132,2188,885,807,1280,1583,2065,2670,305,1493,1705,2076,1267,3310,716,821
"SP4",117,144,363,138,116,138,292,383,336,19,393,523,91,154,242,56,90
"SP5",4,8,161,47,10,113,60,22,168,51,155,158,208,90,141,67,135
"SP6",74,92,46,199,11,91,330,1817,168,3,196,42,38,40,774,18,1
"SP7",0,0,3,1,0,0,4,3,2,0,4,9,2,1,0,2,1
"SP8",9,4,4,1,11,0,2,33,0,17,71,8,9,150,6,4,10
"SP9",0,0,2,0,0,2,0,1,1,0,5,0,0,17,0,0,0
"SPA17",342,339,38,64,80,190,82,79,100,2,61,162,356,252,24,5,8
"SPACA1",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
"SPACA3",0,0,1,0,3,1,0,2,3,1,7,0,25,6,0,0,0
"SPACA4",7,6,11,9,4,3,4,5,23,3,2,0,3,0,23,1,3
"SPACA5",1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0
"SPACA5B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPACA7",0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,11
"SPAG1",514,526,449,192,122,321,110,74,238,63,195,108,123,335,566,97,122
"SPAG11A",0,0,6,1,1,0,0,2,0,0,0,0,1,0,4,0,0
"SPAG11B",0,0,12,1,0,0,0,0,0,0,4,0,0,0,2,0,0
"SPAG16",216,230,299,299,227,543,324,114,403,101,424,262,619,754,404,162,190
"SPAG17",136,173,172,97,188,17,47,32,267,3,64,164,67,211,110,40,1
"SPAG4",256,265,257,127,434,86,244,203,592,31,120,207,341,2223,1062,85,39
"SPAG5",445,476,292,268,310,173,478,220,974,190,592,1451,403,2648,331,250,226
"SPAG6",102,84,6,5,7,4,0,2,11,0,4,0,2,32,4,0,1
"SPAG7",1020,1155,826,790,507,766,1093,551,1211,648,617,1849,3223,3043,1447,769,982
"SPAG8",36,36,71,47,13,8,53,16,63,8,28,44,21,8,36,22,17
"SPAG9",1530,1510,1746,819,648,748,549,837,1551,658,1144,1401,647,4136,2292,1016,1392
"SPAM1",0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
"SPANXA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPANXA2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SPANXB1",0,0,0,0,4,0,0,0,1,0,0,0,0,13,0,0,0
"SPANXC",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"SPANXD",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"SPANXN1",0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
"SPANXN2",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"SPANXN3",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"SPANXN4",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"SPANXN5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPARC",22746,25017,20656,10616,2744,16687,29034,3103,21344,1488,11672,5304,25332,8370,24126,3124,1093
"SPARCL1",2341,2397,3555,1451,275,1034,697,520,1347,277,552,89,223,321,1034,293,135
"SPAST",329,354,452,262,223,394,856,526,951,72,428,549,279,472,964,174,181
"SPATA12",9,8,8,17,8,7,13,14,11,0,3,3,90,6,8,1,0
"SPATA13",340,336,1299,750,235,185,120,882,735,864,542,551,344,706,458,1010,1071
"SPATA16",1,0,1,2,0,0,0,1,1,0,0,3,4,2,0,0,0
"SPATA17",295,281,111,32,40,109,37,30,60,3,87,158,108,225,133,8,1
"SPATA18",537,515,257,22,9,20,49,23,64,146,107,109,37,16,74,120,182
"SPATA19",0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0
"SPATA2",592,672,426,408,436,284,435,554,521,109,949,718,257,834,718,120,109
"SPATA20",2714,2883,960,2088,569,763,1287,1424,1665,1422,1613,4402,2309,6021,3410,2046,1554
"SPATA21",1,1,0,2,1,0,1,5,1,36,7,20,1,0,1,20,7
"SPATA22",0,1,3,3,1,3,3,0,0,0,0,0,1,113,1,0,1
"SPATA24",64,80,64,47,50,20,108,69,97,29,58,58,197,128,89,25,43
"SPATA25",15,6,13,39,14,2,17,9,63,50,55,65,21,25,96,54,113
"SPATA2L",424,466,354,258,85,380,113,283,565,233,2152,574,321,652,534,138,301
"SPATA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SPATA31A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPATA31A3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPATA31A5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPATA31A6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPATA31A7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPATA31D1",0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0
"SPATA31D3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPATA31D4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPATA31E1",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"SPATA32",6,4,27,19,4,2,1,9,7,0,9,27,3,8,0,3,4
"SPATA33",258,266,191,163,74,306,111,86,362,133,695,383,377,138,357,82,82
"SPATA4",7,11,0,0,1,1,6,0,6,0,4,8,34,6,0,0,0
"SPATA45",0,2,2,0,0,0,0,0,2,1,1,3,0,1,5,1,0
"SPATA5",96,112,157,123,197,84,104,67,207,39,159,233,113,193,200,46,71
"SPATA5L1",187,191,186,136,58,172,172,115,414,74,905,360,390,849,211,91,127
"SPATA6",301,263,142,74,80,101,92,175,186,17,238,317,72,346,282,72,46
"SPATA6L",16,11,56,31,45,11,15,51,96,102,32,142,23,34,287,118,136
"SPATA7",213,198,100,64,95,78,217,126,96,44,157,451,234,265,189,60,134
"SPATA8",0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,3,12
"SPATA9",3,6,4,13,5,4,4,2,3,4,7,5,5,7,11,11,7
"SPATC1",6,4,24,16,2,1,7,16,35,13,14,8,6,3,24,16,27
"SPATC1L",217,269,425,115,202,132,227,288,271,35,855,6,62,1860,1557,47,17
"SPATS1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"SPATS2",159,162,792,438,624,587,650,322,659,113,2170,2179,307,1051,1209,170,145
"SPATS2L",5008,5239,1401,1152,2011,1098,1113,1926,1318,1075,1503,554,1297,3380,598,1135,2094
"SPC24",201,202,167,312,282,159,265,228,501,13,950,544,1305,824,361,40,20
"SPC25",119,99,86,95,104,152,283,101,319,2,196,140,790,431,89,12,3
"SPCS1",3061,3113,1891,1635,1132,1853,2698,1745,2182,1085,7348,1480,6547,2746,2018,1327,1757
"SPCS2",808,868,1993,782,484,881,738,755,1273,275,1162,657,2352,1248,1210,505,631
"SPCS3",1997,1970,3653,1246,774,886,1307,1330,2806,577,1890,2764,1082,2527,2771,1059,1003
"SPDEF",269,284,2183,303,25,37,11,390,353,12,84,20,424,1,21,45,1
"SPDL1",2160,2110,323,263,189,259,696,192,780,30,471,332,407,874,265,49,43
"SPDYA",21,12,21,33,39,7,33,8,21,8,22,37,31,17,61,24,13
"SPDYC",1,0,3,2,1,60,3,8,0,42,14,8,1,0,0,55,145
"SPDYE1",7,5,5,7,3,0,7,7,9,4,13,8,3,5,6,6,6
"SPDYE16",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"SPDYE2",5,5,10,4,1,0,2,2,4,1,6,6,0,0,2,2,0
"SPDYE2B",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"SPDYE3",64,61,122,97,35,44,246,187,132,22,176,159,88,49,83,37,44
"SPDYE4",0,0,1,0,1,0,1,2,0,0,1,1,0,0,0,0,0
"SPDYE5",11,4,16,12,6,2,4,3,14,9,8,17,1,0,10,7,5
"SPDYE6",41,38,17,8,6,1,9,9,19,6,20,14,12,6,0,5,1
"SPECC1",716,748,619,476,1639,745,467,660,2674,32,526,41,1230,1150,86,51,13
"SPECC1L",736,805,806,672,286,255,510,292,909,441,687,1399,403,1641,1045,482,845
"SPECC1L-ADORA2A",3,0,1,2,4,0,1,0,0,1,0,0,0,2,1,2,4
"SPEF1",223,235,134,16,19,20,13,12,124,4,50,128,218,56,44,2,3
"SPEF2",440,492,389,264,611,138,295,206,413,65,367,422,234,156,165,110,81
"SPEG",608,695,394,128,78,95,297,2814,406,66,884,433,279,902,156,775,25
"SPEM1",2,1,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0
"SPEN",1257,1363,2536,1425,1421,351,1281,2978,3551,651,1902,2420,1035,986,2614,953,1033
"SPESP1",12,9,126,6,0,97,5,0,58,4,3,148,195,6,7,3,7
"SPG11",1184,1193,1710,973,593,410,632,1183,1459,487,993,1309,776,2044,934,660,742
"SPG21",959,1032,1341,1735,1061,1767,1434,1912,2141,934,2243,2009,3480,5150,1770,1301,1302
"SPG7",1904,2139,2383,2148,782,777,1035,841,2935,2039,3697,4530,992,1904,4690,1771,2464
"SPHK1",187,230,630,799,59,393,105,71,1256,94,428,175,744,1117,831,96,46
"SPHK2",634,735,544,391,208,360,494,314,959,858,492,1384,191,655,638,656,1048
"SPHKAP",0,1,0,0,0,51,0,1,0,0,0,0,0,2,0,1,0
"SPI1",269,293,2258,2552,372,263,120,866,2269,235,1974,185,399,785,775,472,150
"SPIB",3,4,1509,583,20,4,5,171,656,13,26,3,1,8,75,19,2
"SPIC",0,0,26,8,2,0,0,8,9,2,2,1,0,0,0,8,2
"SPICE1",191,207,320,244,460,199,496,358,702,58,731,360,305,397,500,96,99
"SPIDR",726,798,1084,974,1350,678,1453,844,1002,372,1254,2453,1694,750,1434,652,483
"SPIN1",1849,1741,1613,1081,1166,1636,4587,1938,2754,311,1236,2920,2068,1337,2244,659,587
"SPIN2A",2,2,9,2,0,1,10,0,6,0,10,4,4,48,0,1,2
"SPIN2B",66,70,98,51,36,32,127,55,101,18,87,124,185,164,69,36,37
"SPIN3",63,73,99,50,31,28,115,105,129,51,185,159,54,83,115,83,86
"SPIN4",161,155,126,112,55,47,224,312,173,15,245,530,229,11,229,30,21
"SPINK1",1,5,5,0,6,3,4,0,3,640,5,257,12,442,19,223,5
"SPINK13",3,1,1,0,0,1,0,2,1,1,1,0,0,51,4,1,2
"SPINK14",0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0
"SPINK2",0,0,42,13,1,3,4,21,6,0,3,7,9,10,19,0,0
"SPINK4",0,1,1,0,2,1,0,0,0,1,0,2,0,0,0,0,0
"SPINK5",3,7,63,128,314,24,131,5,172,3,2,1,152,119,667,82,3
"SPINK6",0,0,0,0,4,0,1,0,1,0,0,0,2,5,0,1,1
"SPINK7",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3,0
"SPINK8",1,0,0,0,4,0,0,1,1,0,0,0,0,0,25,0,0
"SPINK9",1,0,1,0,0,0,0,0,0,2,0,0,5,0,3,1,0
"SPINT1",4372,4674,3252,3525,3113,1489,1966,2939,6865,100,309,5437,4389,520,12564,93,74
"SPINT2",26152,29488,5362,8646,27767,7331,13334,16500,44175,170,1501,14054,14496,7373,57904,232,232
"SPINT3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPINT4",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"SPIRE1",355,353,199,95,91,226,183,144,372,46,605,255,98,2919,581,114,27
"SPIRE2",522,559,83,159,36,232,164,83,588,305,788,1350,168,143,653,284,358
"SPN",25,19,2710,862,112,19,28,907,898,48,328,23,17,13,302,145,40
"SPNS1",83,97,97,104,37,17,84,42,163,41,138,183,52,199,225,40,51
"SPNS2",1565,1653,584,253,23,253,180,134,896,228,87,48,299,117,166,167,108
"SPNS3",2,5,164,40,2,4,1,26,54,38,6,5,16,4,9,58,63
"SPO11",0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0
"SPOCD1",25,21,59,40,10,17,23,7,160,1,10,60,37,1876,117,6,1
"SPOCK1",114,134,49,28,14,239,653,27,163,2,377,119,23,6,26,26,3
"SPOCK2",89,120,4614,2199,9173,1175,690,13355,2390,73,4138,771,1009,121,1191,325,25
"SPOCK3",0,3,0,0,7,58,125,0,6,0,39,16,19,2915,2,9,0
"SPON1",1392,1440,24028,4140,11085,6371,18029,26065,21307,102,23332,53,6983,3570,79654,87,40
"SPON2",999,1176,450,576,88,376,339,94,646,2334,364,647,1860,74960,1047,2363,2595
"SPOP",1258,1324,1256,1070,1023,812,663,1066,1480,630,849,1586,1633,4240,1220,871,922
"SPOPL",313,300,647,356,331,386,437,627,943,92,417,482,309,331,1103,164,207
"SPP1",49696,49987,636,3549,1062,6645,3338,754,18955,721,4005,775,2075,99043,2291,106,101
"SPP2",0,0,0,0,22,1,0,0,0,2062,1,480,6,1,1,2411,3632
"SPPL2A",1204,1180,1434,855,425,526,420,717,1167,654,969,657,835,3230,1727,963,1485
"SPPL2B",1740,2076,2065,1863,471,115,708,672,3074,1410,1870,6611,619,853,2717,1339,1487
"SPPL2C",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"SPPL3",855,939,1366,1335,1178,645,1077,723,1649,370,2181,2718,723,1777,2599,414,654
"SPR",1285,1425,178,562,264,466,508,758,1333,720,834,354,3002,751,1170,1381,1217
"SPRED1",588,562,775,495,183,404,512,547,808,66,1141,1229,467,450,1000,179,133
"SPRED2",713,830,565,363,233,303,1189,486,900,202,1439,1340,553,483,795,342,558
"SPRED3",25,52,45,84,5,39,151,14,142,7,16,578,28,53,411,40,11
"SPRN",104,85,149,170,50,36,103,68,174,207,158,833,23,178,249,154,226
"SPRR1A",0,0,0,0,0,1,1,0,0,0,0,0,9,0,0,0,0
"SPRR1B",2,0,0,7,0,0,0,0,4,0,0,6,1,0,10,0,0
"SPRR2A",11,14,0,5,0,0,0,1,0,2,0,4,1,2,0,0,0
"SPRR2B",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"SPRR2D",2,6,0,4,0,0,0,0,0,0,1,7,0,0,1,0,0
"SPRR2E",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPRR2F",0,2,0,0,0,1,3,0,0,0,0,7,0,0,0,0,0
"SPRR2G",3,3,0,11,0,0,0,0,0,0,1,1,0,0,0,0,0
"SPRR3",0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0
"SPRR4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPRTN",352,315,249,119,62,205,328,216,228,43,371,529,152,522,384,57,75
"SPRY1",1366,1622,927,1086,1204,1891,904,286,1448,195,961,6433,1526,162,2148,261,225
"SPRY2",333,362,474,345,134,425,1346,155,472,143,932,709,328,131,1599,182,183
"SPRY3",54,53,252,126,31,157,5,84,177,25,122,803,112,60,543,45,27
"SPRY4",903,1000,729,1697,67,273,4137,189,1014,138,504,1341,532,85,2002,257,257
"SPRYD3",1461,1753,1607,1070,507,1117,782,1725,1082,243,3149,999,543,1428,766,350,319
"SPRYD4",503,520,266,407,236,412,415,256,609,1757,381,724,1115,1093,437,1785,2731
"SPRYD7",223,240,197,141,177,266,111,259,153,149,244,216,247,506,246,244,327
"SPSB1",484,519,618,425,470,877,820,657,1919,293,1004,404,2096,5837,1044,211,149
"SPSB2",390,443,494,537,256,372,65,221,457,64,331,314,476,610,549,62,114
"SPSB3",71,72,94,54,20,42,50,50,133,148,72,153,101,53,162,150,141
"SPSB4",8,8,32,15,1,50,173,10,140,7,93,20,16,299,6,12,3
"SPTA1",2,3,2,1,4,2,1,10,5,0,4,0,1,0,0,1,0
"SPTAN1",3381,3660,6362,5137,3670,3678,3101,5695,7850,1469,10598,9560,3732,5266,4107,2187,2191
"SPTB",50,80,31,20,19,66,16,36,41,6,236,668,50,35,68,9,14
"SPTBN1",4655,4906,6036,2834,704,1680,5662,3632,5227,2646,4623,4415,1525,6266,4460,4672,6521
"SPTBN2",492,556,920,2655,328,1124,1543,3554,3622,873,2176,2881,1180,1042,1579,1857,2319
"SPTBN4",42,33,28,15,7,67,259,330,102,51,160,32,50,282,154,112,73
"SPTBN5",144,170,68,212,29,2,37,44,237,151,51,511,90,22,209,103,82
"SPTLC1",922,903,635,271,226,432,1376,804,1155,120,573,764,715,777,1107,180,241
"SPTLC2",1949,2109,1606,1462,658,965,514,3073,2019,134,861,2831,934,1897,2108,210,209
"SPTLC3",2255,2296,356,117,375,81,87,1384,195,217,143,182,563,13,178,400,443
"SPTSSA",975,956,508,501,373,1111,935,757,620,196,766,753,1565,2058,1454,352,487
"SPTSSB",2,2,79,33,171,4,7,133,20,4,18,0,91,4,5,7,11
"SPTY2D1",542,555,616,372,260,386,525,688,533,57,860,435,203,410,1415,151,167
"SPX",4,3,28,9,63,2,22,19,7,48,540,318,64,256,4,76,77
"SPZ1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0
"SQLE",5182,5276,714,1215,364,2398,2292,1005,2102,127,941,1268,3226,1513,4878,120,93
"SQSTM1",4863,5384,5403,4005,2292,3307,2201,4739,5325,2132,7633,2553,5318,79362,3426,2603,4376
"SRA1",682,775,803,548,446,586,517,565,719,441,851,1100,1768,2507,810,455,570
"SRBD1",266,287,331,240,101,163,444,190,591,63,206,271,516,702,529,144,109
"SRC",4756,5278,1597,1328,234,455,894,518,2047,230,1908,3903,594,1472,1819,307,336
"SRCAP",2888,3286,3900,2958,1472,817,2719,2477,6504,1190,2559,5385,2359,1935,4849,1286,1481
"SRCIN1",79,78,75,50,4,84,82,30,418,247,37,1890,244,558,378,436,538
"SRD5A1",289,342,747,449,777,560,584,664,477,1035,2013,691,1051,270,977,2261,2362
"SRD5A2",30,39,20,1,2,0,1,1,5,664,3,74,5,3,0,765,2095
"SRD5A3",403,417,2785,968,264,1218,594,414,1097,171,601,395,1613,761,6459,163,158
"SREBF1",4241,4903,1844,3078,1517,1014,697,1749,4746,5676,1886,5052,977,5738,4330,6090,11831
"SREBF2",5683,6369,3109,3521,2605,1598,2402,2884,5287,1454,2602,3579,1885,4680,5431,1330,2886
"SREK1",2134,2251,2002,2982,2399,782,1236,1497,2108,1402,1143,2595,876,2381,2589,1601,1922
"SREK1IP1",793,697,625,704,585,385,322,484,592,339,456,542,544,986,547,454,499
"SRF",2122,2424,1789,1478,473,1276,1830,1102,2409,308,6788,2776,1345,1507,1693,374,452
"SRFBP1",257,261,171,111,81,220,144,242,377,41,245,150,118,272,181,42,29
"SRGAP1",559,562,388,454,874,280,317,913,409,70,803,1530,210,265,332,92,128
"SRGAP2",616,640,929,726,382,326,756,506,919,169,1683,5260,509,493,1691,294,126
"SRGAP2B",17,13,30,27,20,27,48,7,19,5,56,155,25,19,180,8,5
"SRGAP2C",64,71,109,133,100,100,139,102,145,34,123,130,59,116,252,47,53
"SRGAP3",658,742,360,604,264,305,1666,903,922,75,1157,869,191,143,553,154,30
"SRGN",421,440,3619,1978,341,463,165,873,2174,158,1642,87,304,1458,1285,362,77
"SRI",1197,1210,1109,544,1125,1457,1532,1969,2044,208,2171,2132,8221,2471,742,338,263
"SRL",25,26,107,23,6,1,7,7,31,19,2,6,1,3,3,33,6
"SRM",1431,1582,1174,1105,288,802,1937,916,2676,445,6933,1553,3993,2472,1068,498,388
"SRMS",73,80,15,143,9,29,13,156,132,7,7,397,24,12,469,6,13
"SRP14",2801,2823,3288,1962,3259,5735,2710,1729,3834,1226,3298,5126,16985,10419,3251,1504,2228
"SRP19",425,422,306,310,216,306,238,207,371,150,401,277,409,867,435,200,194
"SRP54",1127,1095,982,777,582,1031,1413,1066,1133,465,931,1630,1511,3034,1608,652,837
"SRP68",1116,1127,1408,1212,816,1485,1716,1085,2351,522,1336,2917,3422,4313,4001,707,816
"SRP72",1454,1484,2415,1702,1210,1979,2782,1841,2457,725,3320,2845,1984,4187,2324,677,900
"SRP9",2681,2684,2147,1192,826,2931,2239,1595,1118,597,1962,4621,3871,3034,5934,1262,1765
"SRPK1",1347,1391,990,775,404,474,1305,629,1690,169,1352,2215,1304,1628,1311,341,379
"SRPK2",901,1015,1449,1345,731,841,1174,1369,1931,231,1673,1823,827,1204,982,333,309
"SRPK3",59,54,47,27,2,6,384,20,40,22,90,127,16,83,815,132,37
"SRPRB",1873,1904,897,530,530,618,1529,868,1602,454,2445,750,1549,4065,949,609,691
