GENE_SYMBOL,GSM1648121,GSM1648114,GSM1648122,GSM1648115,GSM1648116,GSM1648117,GSM1648123,GSM1648124,GSM1648118,GSM1648119,GSM1648120
ZSCAN12,7.0549,7.1379,6.9943,6.8877,6.482,7.5929,7.87,7.3509,7.0693,6.7404,7.1482
ZSCAN16,7.4137,7.3242,8.9436,7.8592,7.5035,7.7237,8.6655,7.3146,8.8667,8.0922,7.263
ZSCAN2,10.462,10.7139,9.7347,9.4335,9.275,9.5046,9.6906,9.638,9.8466,10.0408,8.7793
ZSCAN20,7.2365,6.7088,6.8229,6.6247,7.4526,6.371,6.4465,6.9401,6.6559,6.5035,6.9924
ZSCAN22,7.7079,6.7328,6.757,6.4469,7.096,7.2158,6.6552,6.995,7.2506,6.8645,7.0867
ZSCAN23,6.7695,7.3892,6.1197,7.1551,6.8909,7.4856,7.36,6.1177,7.1554,8.2586,6.7505
ZSCAN32,9.1767,9.8934,9.3951,8.9175,9.3186,9.2866,9.2317,9.7326,8.8204,9.4053,8.777
ZSCAN4,6.535,7.5463,6.2698,6.286,6.5024,6.4885,7.046,7.3105,6.3172,6.1039,6.3553
ZSCAN5A,8.6981,9.8211,9.3697,9.6211,8.3749,8.9325,8.3214,8.8505,9.9529,8.9608,8.642
ZSWIM1,10.9663,11.8019,11.3685,11.5954,10.8452,11.8097,11.503,11.7429,11.6165,11.5848,11.0074
ZW10,8.5605,9.4339,8.9812,9.3082,9.4297,8.7607,9.3168,9.1029,10.2164,9.4412,9.9304
ZWILCH,7.9592,7.81566666666667,9.1446,8.27756666666667,8.8885,8.59603333333333,8.76846666666667,9.46556666666667,9.5215,8.24546666666667,9.1709
ZXDA,9.4597,8.8091,9.4765,9.99445,10.14645,10.25185,9.3172,9.466,9.45225,9.7481,10.18455
ZXDC,10.0579,10.1209,9.7086,9.7093,9.4453,10.0239,10.0189,9.694,9.0119,9.741,9.4368
ZYG11A,6.4499,7.0736,8.5353,7.6847,6.6366,8.9218,6.2812,6.7686,8.0753,7.6895,6.3468
ZYG11B,11.2753,12.2762,11.1646,11.4748,10.9181,11.3726,11.512,11.7642,11.1783,11.1106,11.4972
ZZZ3,8.7536,9.335,9.1246,9.5337,9.9264,8.9098,8.8939,9.5653,9.6793,9.3276,9.8591
