"GENE_SYMBOL","GSM6935515--Patient1","GSM6935517--Patient3","GSM6935519--Patient4","GSM6935521--Patient14","GSM6935523--Patient16","GSM6935524--Patient18","GSM6935525--Patient19","GSM6935526--Patient20","GSM6935527--Patient21","GSM6935529--Patient23","GSM6935530--Patient24","GSM6935532--Patient25","GSM6935533--Patient27","GSM6935534--Patient28","GSM6935536--Patient31"
"CHAF1A",2591,1355,2497,1178,1576,2474,2930,8082,2169,6509,3832,3526,674,5216,2513
"CHAF1B",866,376,1493,348,826,874,947,3421,1099,2461,2058,1560,312,1728,1125
"CHAMP1",2304,1829,3212,629,2423,3478,2135,5122,1607,7055,4557,3172,2305,4265,1970
"CHAT",0,0,0,10,0,5,4,2,0,2,1,1,0,0,0
"CHCHD1",1639,919,1022,544,1195,894,1892,3814,658,2200,1548,543,625,3447,449
"CHCHD10",1455,6647,2843,676,5216,1599,2356,3941,992,2218,1813,905,1281,3519,99
"CHCHD2",3605,11635,6946,2305,7490,7215,9693,14874,6351,7059,11316,3958,3373,11606,1742
"CHCHD3",1408,2663,2149,888,3170,3006,3404,9792,2847,4340,4749,2642,2383,4125,1203
"CHCHD4",534,648,510,212,958,968,1604,3706,513,2109,971,2442,443,1898,617
"CHCHD5",443,791,748,182,542,611,1311,1004,460,537,704,264,382,920,109
"CHCHD6",268,307,295,185,534,351,962,2053,588,815,375,349,386,885,182
"CHCHD7",920,1563,1685,551,1618,2436,2154,7038,1137,1622,1821,2472,1348,3633,1308
"CHD1",7393,3837,6284,1652,7082,7423,7118,17587,4665,11340,7461,5650,9088,14302,4580
"CHD1L",1771,1068,1872,1623,2872,6889,1616,7297,2394,3323,14161,1960,3029,4683,1047
"CHD2",13169,9918,14676,3548,11483,13441,17488,42018,11618,15973,12727,14102,19885,22052,10300
"CHD3",24313,8504,19852,6554,14425,15789,18691,67990,21525,45262,11562,21990,20615,24504,5668
