"GENE_SYMBOL","GSM5512434","GSM5512437","GSM5512443","GSM5512446","GSM5512449","GSM5512452","GSM5512455","GSM5512458"
"AKR1B15",1,49,0,1,0,0,1,0
"AKR1C1",54,1126,298,323,425,183,2694,3965
"AKR1C2",41,1133,141,314,330,367,2157,486
"AKR1C3",31,800,176,39,500,218,2109,514
"AKR1C4",2,3,0,0,0,4,0,461
"AKR1D1",1,4,6,0,3,4,0,188
"AKR1E2",4,711,121,51,153,72,536,1592
"AKR7A2",1340,7209,4665,6521,2283,1968,3019,2678
"AKR7A3",94,614,408,817,120,166,164,420
"AKT1",3987,16848,26825,28587,8919,5020,15185,15669
"AKT1S1",1414,1134,1899,1564,1220,1153,1840,4079
"AKT2",9466,14370,20144,12881,7267,4997,13694,13210
"AKT3",300,2037,2853,1665,7039,5521,20920,3944
"AKTIP",39,776,368,1230,599,438,1386,920
"ALAD",661,1740,1134,1565,1153,928,2493,1455
"ALAS1",1968,3380,4117,6226,4316,2426,6014,4961
"ALAS2",1,12,7,48,52,12,19,5
"ALB",37,174,137,26,25,56,135,131903
"ALCAM",188,2874,2800,761,2080,871,4761,21477
"ALDH16A1",2932,1474,2907,3542,1738,1147,2582,3405
"ALDH18A1",5347,6506,14524,9995,9102,4934,14965,12207
"ALDH1A1",223,1259,960,128088,629,1064,3706,17311
"ALDH1A2",12,73,193,90,55,24,391,64
"ALDH1A3",1030,2635,2570,1501,1865,1142,4767,317
"ALDH1B1",2382,5057,3630,1209,1773,1967,6117,1583
"ALDH1L1",22,680,96,135,90,22,1162,1100
"ALDH1L2",46,490,852,212,1083,642,4607,219
"ALDH2",9086,4448,15134,5127,9337,6032,13292,29117
"ALDH3A1",466,1980,1736,522,329,413,217,160
"ALDH3A2",1735,24633,8198,5298,6354,1432,8387,3414
"ALDH3B1",1066,601,745,362,577,537,969,456
"ALDH3B2",270,540,1677,125,325,83,189,845
"ALDH4A1",178,440,3279,2227,344,429,396,610
