"GENE_SYMBOL","GSM4128049","GSM4128050","GSM4128051","GSM4128052","GSM4128053","GSM4128054"
"AKAP9",994,803,957,1412,1293,9
"AKIP1",277,441,637,362,923,0
"AKIRIN1",125,75,176,297,100,1
"AKIRIN2",61,176,61,7,98,0
"AKNA",912,10,116,150,83,0
"AKNAD1",0,0,8,12,0,0
"AKR1A1",1104,7661,1329,528,3124,2
"AKR1B1",598,183,308,118,271,394
"AKR1B10",0,0,2,0,0,0
"AKR1B15",0,0,3,0,10,0
"AKR1C1",74,0,15,0,14,0
"AKR1C2",149,22,14,0,65,0
"AKR1C3",107,0,66,8,93,0
"AKR1C4",0,0,0,0,0,0
"AKR1D1",2,132,0,0,0,0
"AKR1E2",0,0,3,0,5,0
"AKR7A2",296,396,401,821,1866,149
"AKR7A3",4,85,16,155,543,1
"AKT1",215,62,105,293,81,8
"AKT1S1",178,285,424,436,115,526
"AKT2",3701,23554,9213,18715,23069,8508
"AKT3",257,21,194,41,218,0
"AKTIP",23,18,23,36,75,0
"ALAD",84,99,116,180,139,0
"ALAS1",105,4,41,43,49,1
"ALAS2",0,0,7,0,0,1
"ALB",3,27,4,3,1,78
"ALCAM",481,65748,514,4802,1823,225
"ALDH16A1",455,1219,720,318,1155,77
"ALDH18A1",199,40,271,281,210,0
"ALDH1A1",425,19,58,13,119,0
"ALDH1A2",171,0,9,0,6,0
"ALDH1A3",182,205,49,1090,117,0
"ALDH1B1",155,53,809,193,333,421
"ALDH1L1",9,0,0,0,5,0
"ALDH1L2",15,0,43,0,14,0
"ALDH2",320,5350,246,348,148,4
"ALDH3A1",0,0,0,0,3,0
"ALDH3A2",154,440,171,104,318,0
"ALDH3B1",308,14,225,0,122,0
"ALDH3B2",61,14079,758,33,309,3
"ALDH4A1",223,860,238,384,379,1048
"ALDH5A1",153,513,123,249,566,1
"ALDH6A1",309,216,108,800,99,0
"ALDH7A1",201,497,455,771,331,654
"ALDH8A1",6,8,21,0,16,0
"ALDH9A1",431,1038,404,2726,898,47
"ALDOA",1207,4177,3657,4993,6317,6614
"ALDOB",0,0,0,0,0,0
"ALDOC",109,0,98,0,201,355
"ALG1",188,451,162,908,445,1661
"ALG10",6,57,20,0,2,0
"ALG10B",77,20,21,107,35,0
"ALG11",64,79,55,72,104,0
"ALG12",193,711,406,384,334,1
"ALG13",167,172,101,221,529,0
"ALG14",56,123,68,93,75,0
"ALG1L",0,0,3,0,1,0
"ALG1L2",0,0,0,0,0,0
"ALG2",526,911,500,731,571,0
"ALG3",591,1255,692,854,620,777
"ALG5",746,3048,743,1367,2117,274
"ALG6",123,546,93,124,260,4
"ALG8",296,871,635,877,483,1028
"ALG9",34,109,53,74,105,0
"ALK",23,0,0,0,0,0
"ALKBH1",26,18,15,30,15,0
"ALKBH2",119,42,57,62,58,0
"ALKBH3",96,196,109,90,500,0
"ALKBH4",48,62,79,149,75,0
"ALKBH5",244,133,197,453,176,4
"ALKBH6",67,6,33,47,40,0
"ALKBH7",201,369,435,504,150,0
"ALKBH8",12,1,16,24,6,0
"ALLC",0,0,9,0,0,0
"ALMS1",142,47,136,98,247,29
"ALOX12",0,0,0,0,0,0
"ALOX12B",0,0,0,0,0,0
"ALOX15",15,20,12,0,9,0
"ALOX15B",33,5067,49,205,23,1
"ALOX5",272,0,50,3,47,0
"ALOX5AP",1853,35,870,817,374,45
"ALOXE3",0,0,0,0,0,0
"ALPI",0,1,0,0,0,0
"ALPK1",204,75,139,112,175,0
"ALPK2",138,8,170,0,59,0
"ALPK3",107,347,141,0,231,0
"ALPL",75,0,5,0,10,0
"ALPP",0,0,0,0,0,0
"ALS2",78,56,73,1,115,1
